libelle,axe 1,axe 2,@xmlns,@xmlns:xsi,@xsi:type,codeType,libelleEdition,libelleAbrege,libelleAbrev,viMoDe,organeParent,chambre,regime,legislature,regimeJuridique,siteInternet,nombreReunionsAnnuelles,secretariat,listePays,positionPolitique,preseance,couleurAssociee
La France insoumise,19.64715105728833,-10.85544375059873,http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,GroupePolitique_type,GP,du groupe La France insoumise,FI,FI,"{'dateDebut': '2017-06-27', 'dateAgrement': None, 'dateFin': None}",,,5ème République,15.0,,,,"{'secretaire01': None, 'secretaire02': None}",,Opposition,7.0,#ED302C
Gauche démocrate et républicaine,16.150724050576468,-7.537915555130791,http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,GroupePolitique_type,GP,du groupe de la Gauche démocrate et républicaine,GDR,GDR,"{'dateDebut': '2017-06-27', 'dateAgrement': None, 'dateFin': None}",,,5ème République,15.0,,,,"{'secretaire01': None, 'secretaire02': None}",,Opposition,9.0,#A41914
Socialistes et apparentés,13.163086240221846,-4.61992890680561,http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,GroupePolitique_type,GP,du groupe Socialistes et apparentés,SOC,SOC,"{'dateDebut': '2018-09-12', 'dateAgrement': None, 'dateFin': None}",,,5ème République,15.0,,,,"{'secretaire01': None, 'secretaire02': None}",,Opposition,4.0,#D46CA9
Nouvelle Gauche,10.270789074656522,-4.087692270789173,http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,GroupePolitique_type,GP,du groupe Nouvelle Gauche,NG,NG,"{'dateDebut': '2017-06-27', 'dateAgrement': None, 'dateFin': '2018-09-11'}",,,5ème République,15.0,,,,"{'secretaire01': None, 'secretaire02': None}",,Opposition,5.0,
Écologie Démocratie Solidarité,-3.630505456749847,-3.8347684472345493,http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,GroupePolitique_type,GP,du groupe Écologie Démocratie Solidarité,EDS,EDS,"{'dateDebut': '2020-05-20', 'dateAgrement': None, 'dateFin': '2020-10-16'}",,,5ème République,15.0,,,,"{'secretaire01': None, 'secretaire02': None}",,Minoritaire,8.0,#3A673E
Libertés et Territoires,10.302164466443475,-2.018121109732217,http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,GroupePolitique_type,GP,du groupe Libertés et Territoires,LT,LT,"{'dateDebut': '2018-10-18', 'dateAgrement': None, 'dateFin': None}",,,5ème République,15.0,,,,"{'secretaire01': None, 'secretaire02': None}",,Opposition,8.0,#66BF74
Mouvement Démocrate (MoDem) et Démocrates apparentés,-1.1512594471530133,-1.8324607222818032,http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,GroupePolitique_type,GP,du groupe Mouvement Démocrate (MoDem) et Démocrates apparentés,Dem,DEM,"{'dateDebut': '2020-09-24', 'dateAgrement': None, 'dateFin': None}",,,5ème République,15.0,,,,"{'secretaire01': None, 'secretaire02': None}",,Minoritaire,3.0,#F26D22
Non inscrit,12.35555947426021,-1.2275547789632368,http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,GroupePolitique_type,GP,des députés non inscrits,NI,NI,"{'dateDebut': '2017-06-21', 'dateAgrement': None, 'dateFin': None}",,,5ème République,15.0,,,,"{'secretaire01': None, 'secretaire02': None}",,,99.0,#8D949A
Agir ensemble,-2.4580284193254274,-0.8585347945338406,http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,GroupePolitique_type,GP,du groupe Agir ensemble,Agir ens,AGIR-E,"{'dateDebut': '2020-05-27', 'dateAgrement': None, 'dateFin': None}",,,5ème République,15.0,,,,"{'secretaire01': None, 'secretaire02': None}",,Minoritaire,5.0,#C7C034
Mouvement Démocrate et apparentés,-6.624225470190064,-0.7689205234720431,http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,GroupePolitique_type,GP,du groupe du Mouvement Démocrate et apparentés,MODEM,MODEM,"{'dateDebut': '2017-06-27', 'dateAgrement': None, 'dateFin': '2020-09-23'}",,,5ème République,15.0,,,,"{'secretaire01': None, 'secretaire02': None}",,Minoritaire,3.0,#F26D22
