scrutin,Gauche démocrate et républicaine - NUPES,La France insoumise - Nouvelle Union Populaire écologique et sociale,Socialistes et apparentés (membre de l’intergroupe NUPES),Écologiste - NUPES,alignement,objet,type,date,motion_censure
VTANR5L16V1,pour,pour,pour,pour,True,"la motion de censure déposée en application de l'article 49, alinéa 2, de la Constitution par Mme Mathilde Panot, MM. Boris Vallaud et Julien Bayou, Mme Cyrielle Chatelain, M. André Chassaigne et 145 de leurs collègues.",scrutin public solennel,2022-07-11,True
VTANR5L16V2,pour,pour,pour,pour,True,"la motion de rejet préalable, déposée par Mme Mathilde Panot, du projet de loi maintenant provisoirement un dispositif de veille et de sécurité sanitaire en matière de lutte contre la covid-19 (première lecture).",scrutin public ordinaire,2022-07-11,False
VTANR5L16V5,pour,pour,contre,pour,False,l'amendement de suppression n° 15 de M. Di Filippo et les amendements identiques suivants à l'article 2 du projet de loi maintenant provisoirement un dispositif de veille et de sécurité sanitaire en matière de lutte contre la covid-19 (première lecture).,scrutin public ordinaire,2022-07-12,False
VTANR5L16V4,contre,contre,pour,contre,False,l'article premier du projet de loi maintenant provisoirement un dispositif de veille et de sécurité sanitaire en matière de lutte contre la covid-19 (première lecture).,scrutin public ordinaire,2022-07-12,False
VTANR5L16V13,contre,contre,abstention,contre,False,l'article 2 du projet de loi maintenant provisoirement un dispositif de veille et de sécurité sanitaire en matière de lutte contre la covid-19 (première lecture).,scrutin public ordinaire,2022-07-12,False
VTANR5L16V8,pour,pour,contre,pour,False,l'amendement n° 177 de M. Ben Cheikh à l'article 2 du projet de loi maintenant provisoirement un dispositif de veille et de sécurité sanitaire en matière de lutte contre la covid-19 (première lecture).,scrutin public ordinaire,2022-07-12,False
VTANR5L16V14,pour,pour,pour,pour,True,l'amendement n° 67 de Mme Karamanli à l'article 3 du projet de loi maintenant provisoirement un dispositif de veille et de sécurité sanitaire en matière de lutte contre la covid-19 (première lecture).,scrutin public ordinaire,2022-07-12,False
VTANR5L16V15,contre,contre,abstention,contre,False,l'ensemble du projet de loi maintenant provisoirement un dispositif de veille et de sécurité sanitaire en matière de lutte contre la covid-19 (première lecture).,scrutin public ordinaire,2022-07-12,False
VTANR5L16V11,pour,pour,pour,pour,True,l'amendement n° 61 de Mme Karamanli à l'article 2 du projet de loi maintenant provisoirement un dispositif de veille et de sécurité sanitaire en matière de lutte contre la covid-19 (première lecture).,scrutin public ordinaire,2022-07-12,False
VTANR5L16V6,pour,pour,pour,pour,True,l'amendement n° 77 de Mme Lorho et les amendements identiques suivants à l'article 2 du projet de loi maintenant provisoirement un dispositif de veille et de sécurité sanitaire en matière de lutte contre la covid-19 (première lecture).,scrutin public ordinaire,2022-07-12,False
VTANR5L16V9,pour,pour,pour,pour,True,l'amendement n° 37 rectifié de M. Gosselin à l'article 2 du projet de loi maintenant provisoirement un dispositif de veille et de sécurité sanitaire en matière de lutte contre la covid-19 (première lecture).,scrutin public ordinaire,2022-07-12,False
VTANR5L16V7,pour,pour,contre,pour,False,l'amendement n° 117 de Mme Obono à l'article 2 du projet de loi maintenant provisoirement un dispositif de veille et de sécurité sanitaire en matière de lutte contre la covid-19 (première lecture).,scrutin public ordinaire,2022-07-12,False
VTANR5L16V10,contre,abstention,contre,contre,False,l'amendement n° 43 de M. Pfeffer à l'article 2 du projet de loi maintenant provisoirement un dispositif de veille et de sécurité sanitaire en matière de lutte contre la covid-19 (première lecture).,scrutin public ordinaire,2022-07-12,False
VTANR5L16V3,pour,pour,contre,pour,False,l'amendement de suppression n° 16 de M. Di Filippo et les amendement identiques suivants à l'article premier du projet de loi maintenant provisoirement un dispositif de veille et de sécurité sanitaire en matière de lutte contre la covid-19 (première lecture).,scrutin public ordinaire,2022-07-12,False
VTANR5L16V12,pour,pour,pour,pour,True,l'amendement n° 59 de Mme Karamanli à l'article 2 du projet de loi maintenant provisoirement un dispositif de veille et de sécurité sanitaire en matière de lutte contre la covid-19 (première lecture).,scrutin public ordinaire,2022-07-12,False
VTANR5L16V16,contre,contre,contre,contre,True,l'ensemble du projet de loi de règlement du budget et d'approbation des comptes de l'année 2021 (première lecture).,scrutin public ordinaire,2022-07-13,False
VTANR5L16V21,pour,pour,pour,pour,True,l'amendement n° 96 de M. Leseul à l'article premier du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-18,False
VTANR5L16V27,pour,pour,pour,pour,True,l'amendement n° 895 de Mme Guetté à l'article premier du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-18,False
VTANR5L16V26,pour,pour,pour,pour,True,l'amendement n° 611 de M. Dharréville à l'article premier du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-18,False
VTANR5L16V25,pour,pour,pour,pour,True,l'amendement n° 102 de M. Leseul à l'article premier du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-18,False
VTANR5L16V24,pour,pour,pour,pour,True,l'amendement n° 97 de M. Leseul à l'article premier du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-18,False
VTANR5L16V17,abstention,contre,abstention,abstention,False,l'amendement n° 672 de M. Catteau à l'article premier du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-18,False
VTANR5L16V18,contre,abstention,contre,contre,False,l'amendement n° 677 de M. Catteau à l'article premier du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-18,False
VTANR5L16V22,pour,pour,pour,pour,True,l'amendement n° 100 de M. Leseul à l'article premier du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-18,False
VTANR5L16V20,pour,pour,pour,pour,True,l'amendement n° 906 de M. Clouet à l'article premier du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-18,False
VTANR5L16V23,abstention,abstention,pour,abstention,False,l'amendement n° 743 de M. Tanguy à l'article premier du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-18,False
VTANR5L16V19,contre,abstention,contre,contre,False,l'amendement n° 684 de M. Catteau à l'article premier du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-18,False
VTANR5L16V30,abstention,abstention,contre,contre,False,l'amendement n° 682 de M. Catteau à l'article premier du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-19,False
VTANR5L16V32,contre,contre,contre,contre,True,l'article premier du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-19,False
VTANR5L16V31,pour,pour,pour,pour,True,l'amendement n° 617 de M. Dharréville à l'article premier du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-19,False
VTANR5L16V33,contre,contre,abstention,abstention,False,l'article 2 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-19,False
