libelle,Démocrate (MoDem et Indépendants),Gauche démocrate et républicaine - NUPES,Horizons et apparentés,La France insoumise - Nouvelle Union Populaire écologique et sociale,Les Républicains,"Libertés, Indépendants, Outre-mer et Territoires",Non inscrit,Rassemblement National,Renaissance,Socialistes et apparentés (membre de l’intergroupe NUPES),Écologiste - NUPES
Démocrate (MoDem et Indépendants),418.0,29.0,112.0,30.0,178.0,92.0,70.0,55.0,238.0,77.0,45.0
Gauche démocrate et républicaine - NUPES,29.0,539.0,24.0,244.0,127.0,104.0,51.0,71.0,75.0,236.0,190.0
Horizons et apparentés,112.0,24.0,318.0,21.0,171.0,81.0,29.0,32.0,193.0,68.0,32.0
La France insoumise - Nouvelle Union Populaire écologique et sociale,30.0,244.0,21.0,710.0,80.0,75.0,47.0,86.0,84.0,322.0,337.0
Les Républicains,178.0,127.0,171.0,80.0,1122.0,323.0,189.0,265.0,425.0,225.0,135.0
"Libertés, Indépendants, Outre-mer et Territoires",92.0,104.0,81.0,75.0,323.0,574.0,58.0,99.0,214.0,162.0,131.0
Non inscrit,70.0,51.0,29.0,47.0,189.0,58.0,316.0,90.0,70.0,53.0,45.0
Rassemblement National,55.0,71.0,32.0,86.0,265.0,99.0,90.0,447.0,116.0,101.0,73.0
Renaissance,238.0,75.0,193.0,84.0,425.0,214.0,70.0,116.0,872.0,213.0,149.0
Socialistes et apparentés (membre de l’intergroupe NUPES),77.0,236.0,68.0,322.0,225.0,162.0,53.0,101.0,213.0,1162.0,615.0
Écologiste - NUPES,45.0,190.0,32.0,337.0,135.0,131.0,45.0,73.0,149.0,615.0,1011.0
