texte,dispositif_txt,DEM,ECOLO,GDR-NUPES,HOR,LFI-NUPES,LIOT,LR,NI,RE,RN,SOC
PIONANR5L16B0134,L’article L. 425‑5 du code de l’environnement est ainsi modifié :1° Le premier alinéa est ainsi rédigé́ :« L’agrainage et l’affouragement sont interdits en tout temps sur l’ensemble des territoires soumis à la chasse. » ;2° La seconde phrase du second alinéa est supprimée.,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PIONANR5L16B0134,Supprimer cet article.,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PIONANR5L16B0134,Supprimer les deux dernières phrases de l’alinéa 3.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
PIONANR5L16B0134,"À l’alinéa 2, substituer aux mots :« 5e classe »les mots :« 3e classe ».",0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PIONANR5L16B0134,"À l’alinéa 2, substituer aux mots :« 5e classe »les mots :« 4e classe ».",0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PIONANR5L16B0212,"I. – La section 1 du chapitre III du titre II du livre III de la sixième partie du code du travail est complétée par un article L. 6323‑9‑1 ainsi rédigé :« Art. L. 6323‑9‑1. – Les prestataires mentionnés à l’article L. 6351‑1 adressent à la Caisse des dépôts et consignations une demande de référencement sur le service dématérialisé mentionné à l’article L. 6323‑9.« Ces prestataires sont référencés sur le service dématérialisé à condition :« 1° D’être enregistrés conformément à la section 2 du chapitre premier du titre V du présent livre et de justifier des obligations fixées à toute personne qui réalise des actions prévues à l’article L. 6313‑1 mentionnées aux articles L. 6352‑1, L. 6352‑2, L. 6352‑6 et L. 6352‑11 ;« 2° De satisfaire aux conditions d’exercice dans le cadre du service dématérialisé, notamment celles liées à l’éligibilité des actions prévues à l’article L. 6323‑6, à la détention des autorisations et certifications nécessaires dont celles mentionnées à l’article L. 6316‑1 du présent code et à l’article L. 1221‑3 du code général des collectivités territoriales, ainsi que des habilitations délivrées par les ministères et organismes certificateurs mentionnés à l’article L. 6113‑2 du présent code ;« 3° De respecter les prescriptions de la législation fiscale et de sécurité sociale notamment pour le recouvrement d’impôts, taxes, cotisations et contributions sociales ;« 4° D’avoir produit toutes les pièces justificatives requises ;« 5° De satisfaire aux conditions prévues par les conditions générales d’utilisation du service dématérialisé. « La Caisse des dépôts et consignations peut refuser de référencer les prestataires qui, au cours des deux années précédentes, ont fait l’objet d’une sanction du fait d’un manquement à leurs obligations contractuelles prévues par les conditions générales d’utilisation mentionnées à l’article L. 6323‑9.« Lorsque les conditions de référencement mentionnées au présent article cessent d’être remplies, la Caisse des dépôts et consignations procède au déréférencement du prestataire mentionné à l’article L. 6351‑1. « Pour l’application du 3° du présent article, des échanges automatisés peuvent être organisés entre la Caisse des dépôts et consignations, les organismes de sécurité sociale chargés du recouvrement et l’administration fiscale.« Un décret en Conseil d’État précise les modalités de mise en œuvre du présent article. »II. – Le neuvième alinéa de l’article L. 6323‑9‑1 du code du travail, dans sa rédaction issue de la présente loi, s’applique aux prestataires déjà référencés sur le service dématérialisé mentionné à l’article L. 6323‑9 du code du travail à la date de publication de la présente loi.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PIONANR5L16B0212,"À l’alinéa 6, substituer aux mots :« ou par courrier électronique »les mots : « , par courrier électronique ou sur un service de réseaux sociaux en ligne ».",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PIONANR5L16B0254,Supprimer cet article.,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
PIONANR5L16B0254,"À la première phrase de l’alinéa 2, substituer aux mots :« et collèges »les mots :« , collèges et lycées ». ",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
PIONANR5L16B0257,Supprimer cet article.,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
PIONANR5L16B0322,Supprimer cet article.,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
PIONANR5L16B0322,"À l’alinéa 2, après le mot : « public »insérer le mot :« hospitalier ».",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PIONANR5L16B0322,"À l’alinéa 4, substituer aux mots : « n’exerçant »les mots :« qui n’exercent ».",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PIONANR5L16B0323,Supprimer cet article.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
PIONANR5L16B0324,"Après l’alinéa 5, insérer l'alinéa suivant :« I bis (nouveau). – Les dispositions du I du présent article s’appliquent également aux logements meublés et saisonniers. »",0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
