acteurRef,axe 1,axe 2,organe,nom,prenom,civ,libelleAbrev,couleurAssociee
PA1008,-15.750636387821444,-6.356834585125437,PO800496,David,Alain,M.,SOC,#DF84B5
PA1206,-6.43963309361177,1.3913688153858286,PO793087,Dupont-Aignan,Nicolas,M.,NI,#8D949A
PA1327,4.607919135762873,3.6236940111761298,PO800508,Forissier,Nicolas,M.,LR,#4565AD
PA1567,-12.969329396045623,-5.880126224794477,PO800496,Guedj,Jérôme,M.,SOC,#DF84B5
PA1592,0.48865728515037854,1.149011968829037,PO793087,Habib,David,M.,NI,#8D949A
PA1630,1.0563929407811012,2.1968655054730544,PO800508,Herbillon,Michel,M.,LR,#4565AD
PA1874,-3.045764570161914,1.969432803785018,PO800508,Le Fur,Marc,M.,LR,#4565AD
PA2449,14.208559649999788,-0.9521565659501248,PO800538,Pont,Jean-Pierre,M.,RE,#61468F
PA266788,-2.979262315833976,-0.8741264497470453,PO800532,Morel-À-L'Huissier,Pierre,M.,LIOT,#F8D434
PA266793,0.827565321962078,5.788701670610071,PO800508,Bony,Jean-Yves,M.,LR,#4565AD
PA266797,3.012917103806422,4.546224536261215,PO800508,Gosselin,Philippe,M.,LR,#4565AD
PA266808,-2.0629838524872133,1.2797099958625764,PO800508,Rolland,Vincent,M.,LR,#4565AD
PA267042,4.801472938132523,2.3044410591318143,PO800514,Favennec-Bécot,Yannick,M.,HOR,#32B3CA
PA267306,-9.490163640301974,-3.4554363871401197,PO800502,Chassaigne,André,M.,GDR-NUPES,#991414
PA267318,4.9300135709136335,1.0980504795382402,PO800538,Grelier,Jean-Carles,M.,RE,#61468F
PA267324,1.4181947750733654,3.228039685372542,PO800508,Gaultier,Jean-Jacques,M.,LR,#4565AD
PA267336,19.41737483963674,-0.7309400496257348,PO800538,Giraud,Joël,M.,RE,#61468F
PA267429,3.7359914614873224,6.417346597761412,PO800508,Cinieri,Dino,M.,LR,#4565AD
PA267766,-3.4321931145979794,-0.20992441585595095,PO800532,Bricout,Guy,M.,LIOT,#F8D434
PA267794,-2.4965333283139026,1.6135510176178907,PO800508,Tabarot,Michèle,Mme,LR,#4565AD
PA267901,0.06243869658191378,1.8363194115676464,PO800508,Kamardine,Mansour,M.,LR,#4565AD
PA2952,-3.1370147774188863,-0.647868927613325,PO800532,Warsmann,Jean-Luc,M.,LIOT,#F8D434
PA2960,8.48415489566376,0.27463360885509364,PO800538,Woerth,Éric,M.,RE,#61468F
PA309643,-4.1919682743795414,0.675484105715169,PO793087,Besse,Véronique,Mme,NI,#8D949A
PA330008,-0.20282545235579164,4.1245647113023916,PO800508,Breton,Xavier,M.,LR,#4565AD
PA330240,1.0328181011562727,2.7428914615675537,PO800508,Ciotti,Éric,M.,LR,#4565AD
PA330909,2.030155524982796,6.116441073181939,PO800508,Descoeur,Vincent,M.,LR,#4565AD
PA331582,12.194168859356235,-0.29519087240373026,PO800484,Vigier,Philippe,M.,DEM,#CE5215
PA331835,8.807244482749278,-0.06169910110245136,PO800538,Iborra,Monique,Mme,RE,#61468F
PA332228,8.355906647556788,3.448039820274107,PO800514,Benoit,Thierry,M.,HOR,#32B3CA
PA332523,5.696753248283637,5.54299505053754,PO800508,Dalloz,Marie-Christine,Mme,LR,#4565AD
PA333285,-10.43711033793455,-5.0721752204876775,PO800496,Garot,Guillaume,M.,SOC,#DF84B5
PA333421,-3.311724789820465,-1.220742367518685,PO800532,Pancher,Bertrand,M.,LIOT,#F8D434
PA334116,8.414400139162229,-0.2718888203296226,PO800538,Maquet,Jacqueline,Mme,RE,#61468F
PA335054,-11.537834821698205,-4.221036499083538,PO800496,Karamanli,Marietta,Mme,SOC,#DF84B5
PA335612,-11.462396554442734,-4.298719001712043,PO800502,Lecoq,Jean-Paul,M.,GDR-NUPES,#991414
PA335999,-7.130934405807395,-4.577107380889358,PO800526,Batho,Delphine,Mme,ECOLO,#77AA79
PA340343,-9.681964507884686,-5.543059970582219,PO800496,Saulignac,Hervé,M.,SOC,#DF84B5
PA340643,17.810598688758958,-0.8451592324163355,PO800538,Royer-Perreaut,Lionel,M.,RE,#61468F
PA342196,-10.30572519799199,-2.972809307009973,PO800496,Rouaux,Claudia,Mme,SOC,#DF84B5
PA342240,2.756753332127837,4.939780140721384,PO800508,Bourgeaux,Jean-Luc,M.,LR,#4565AD
PA342384,-14.436297110423455,-6.834442571560437,PO800490,Martin,Élisa,Mme,LFI-NUPES,#E42313
PA342415,-12.401990385734049,-7.473478570771113,PO800496,Battistel,Marie-Noëlle,Mme,SOC,#DF84B5
PA344201,-14.74412324470615,-5.510989792793013,PO800496,Petit,Bertrand,M.,SOC,#DF84B5
PA345722,15.37222965564901,-2.2415149945385053,PO800538,Le Grip,Constance,Mme,RE,#61468F
PA346054,2.4076290665948563,5.1884308151326906,PO800508,Maquet,Emmanuel,M.,LR,#4565AD
PA346782,3.4773954879057287,4.796040425625747,PO800508,Juvin,Philippe,M.,LR,#4565AD
PA421348,-1.6079064138441277,-1.0243685684208192,PO800514,Villiers,André,M.,HOR,#32B3CA
PA588884,-11.20490200895508,-4.296931217341971,PO800490,Autain,Clémentine,Mme,LFI-NUPES,#E42313
PA605036,2.996511847605115,1.01593863428942,PO800538,Abad,Damien,M.,RE,#61468F
PA605069,-9.693728474918586,-4.11581936057071,PO800532,Bricout,Jean-Louis,M.,LIOT,#F8D434
PA605694,5.169994679433099,1.158680984447975,PO800484,Falorni,Olivier,M.,DEM,#CE5215
PA605745,-17.271929551247,-6.076376812526742,PO800502,Sansu,Nicolas,M.,GDR-NUPES,#991414
PA605782,5.288780302092487,-2.120924099156315,PO800514,Marcangeli,Laurent,M.,HOR,#32B3CA
PA605963,18.746013163878434,-2.7418451441227463,PO800538,Alauzet,Éric,M.,RE,#61468F
PA605991,2.8654323762121057,3.22469518058093,PO800508,Genevard,Annie,Mme,LR,#4565AD
PA606098,2.1129292020514425,5.400330871880245,PO800508,Marleix,Olivier,M.,LR,#4565AD
PA606507,13.539731199072298,-0.31388324538892937,PO800538,Boudié,Florent,M.,RE,#61468F
PA606639,3.1983760551338434,0.7455392480754353,PO800538,Vignal,Patrick,M.,RE,#61468F
PA607090,4.3742385364964,7.572667788307453,PO800508,Vigier,Jean-Pierre,M.,LR,#4565AD
PA607193,11.097484963315292,-1.8642390224977723,PO800538,Errante,Sophie,Mme,RE,#61468F
PA607395,11.185687468066908,-0.10701981653952551,PO800538,Travert,Stéphane,M.,RE,#61468F
PA607553,-9.08747663387096,-6.046576516860513,PO800496,Potier,Dominique,M.,SOC,#DF84B5
PA607619,-7.442278962456202,-2.244600467430833,PO800532,Molac,Paul,M.,LIOT,#F8D434
PA608016,7.3671006828485215,6.901518611653332,PO800508,Louwagie,Véronique,Mme,LR,#4565AD
PA608172,-15.933986694065263,-9.011950306916434,PO800496,Pires Beaune,Christine,Mme,SOC,#DF84B5
PA608416,2.327488190136501,5.668542412697159,PO800508,Hetzel,Patrick,M.,LR,#4565AD
PA608695,-10.539356668711772,-4.585036135114618,PO800496,Untermaier,Cécile,Mme,SOC,#DF84B5
PA608826,2.8233499314240125,3.0854975072184883,PO800508,Duby-Muller,Virginie,Mme,LR,#4565AD
PA609332,-9.83761084855211,-4.178268254109834,PO800496,Faure,Olivier,M.,SOC,#DF84B5
PA609520,2.6854366681379993,-1.195466615489483,PO800538,Pompili,Barbara,Mme,RE,#61468F
PA609590,-8.784108826429947,-3.5917479457300496,PO800496,Rabault,Valérie,Mme,SOC,#DF84B5
PA610002,-16.858029183657706,-9.220726557816874,PO800526,Sas,Eva,Mme,ECOLO,#77AA79
PA610654,-16.23907621324691,-5.814470061736146,PO800490,Nilor,Jean-Philippe,M.,LFI-NUPES,#E42313
PA642695,14.685400294333336,-2.1147196490900066,PO800538,Bothorel,Éric,M.,RE,#61468F
PA642764,-7.524060249382452,-2.3806303495953727,PO800496,Aviragnet,Joël,M.,SOC,#DF84B5
PA642847,0.23761414038692108,5.109399115191933,PO800508,Bazin,Thibault,M.,LR,#4565AD
PA642868,14.8301337250472,-0.5923350175224733,PO800514,Christophe,Paul,M.,HOR,#32B3CA
PA642988,-9.366883195007917,11.327262244985375,PO800520,de Lépinau,Hervé,M.,RN,#35495E
PA643089,-1.9416633178372291,0.6373859768164647,PO800508,Thiériot,Jean-Louis,M.,LR,#4565AD
PA643134,1.7135746567005388,4.8087708056047,PO800508,Valentin,Isabelle,Mme,LR,#4565AD
PA643143,-12.936143026060007,-5.434746749961471,PO800496,Baptiste,Christian,M.,SOC,#DF84B5
PA643157,-11.876528207062798,-5.302860318312931,PO800496,Naillet,Philippe,M.,SOC,#DF84B5
PA643175,12.811925787468653,-2.4373443644018087,PO800538,Dupont,Stella,Mme,RE,#61468F
PA643184,15.381489265291936,-0.7823273562381012,PO800538,Klinkert,Brigitte,Mme,RE,#61468F
PA643192,-15.775464837464366,-8.244955791438317,PO800496,Jourdan,Chantal,Mme,SOC,#DF84B5
PA677483,7.170163364669763,-2.913206475175828,PO800538,Mazars,Stéphane,M.,RE,#61468F
PA695100,-3.6571394381133393,-0.2466815617372195,PO800508,Habib,Meyer,M.,LR,#4565AD
PA712014,13.051617980626617,0.16483762892197812,PO800538,Ledoux,Vincent,M.,RE,#61468F
PA712015,2.4790984401411897,4.531636958654188,PO800508,Dive,Julien,M.,LR,#4565AD
PA717379,24.42990903886332,-5.085417804144315,PO800538,Maillard,Sylvain,M.,RE,#61468F
PA718674,14.965994347426186,-2.112938845045625,PO800538,Givernet,Olga,Mme,RE,#61468F
PA718710,16.83182707912917,-2.12793410775887,PO800538,Boyer,Pascale,Mme,RE,#61468F
PA718784,-1.8698415036411187,2.192738809664779,PO800508,Pauget,Éric,M.,LR,#4565AD
PA718838,-3.916660159457531,1.6041514058190494,PO800508,Brun,Fabrice,M.,LR,#4565AD
PA718850,0.45721002431195934,5.999570028855534,PO800508,Cordier,Pierre,M.,LR,#4565AD
PA718860,-7.033451987065437,-2.955051432694578,PO800490,Taurine,Bénédicte,Mme,LFI-NUPES,#E42313
PA718884,1.241271685769536,3.947671401614921,PO800508,Bazin-Malgras,Valérie,Mme,LR,#4565AD
PA718910,7.895120702177816,0.11286159123913858,PO800538,Pitollat,Claire,Mme,RE,#61468F
PA718926,-13.640785364652196,-2.7266406370489222,PO800502,Dharréville,Pierre,M.,GDR-NUPES,#991414
PA718930,15.508493717798672,0.13557730622167838,PO800538,Petel,Anne-Laurence,Mme,RE,#61468F
PA718962,12.395462283148012,-1.133603702542069,PO800538,Zulesi,Jean-Marc,M.,RE,#61468F
PA718978,14.937536200484125,-1.5310303433921202,PO800484,Laqhila,Mohamed,M.,DEM,#CE5215
PA719006,11.17114769243603,-1.4928256934251274,PO800538,Le Vigoureux,Fabrice,M.,RE,#61468F
PA719024,12.184351032477611,-2.2081521690817976,PO800484,Blanchet,Christophe,M.,DEM,#CE5215
PA719032,18.269728770772424,-2.021086394718298,PO800538,Bouyx,Bertrand,M.,RE,#61468F
