,Démocrate (MoDem et Indépendants),Gauche démocrate et républicaine - NUPES,Horizons et apparentés,La France insoumise - Nouvelle Union Populaire écologique et sociale,Les Républicains,"Libertés, Indépendants, Outre-mer et Territoires",Non inscrit,Rassemblement National,Renaissance,Socialistes et apparentés (membre de l’intergroupe NUPES),Écologiste - NUPES
VTANR5L16V1,pas joué,perdu,pas joué,perdu,pas joué,pas joué,perdu,pas joué,pas joué,perdu,perdu
VTANR5L16V10,gagné,gagné,gagné,pas joué,gagné,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V100,gagné,perdu,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,perdu
VTANR5L16V1000,gagné,perdu,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,perdu
VTANR5L16V1001,gagné,perdu,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,perdu
VTANR5L16V1002,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,perdu
VTANR5L16V1003,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,perdu
VTANR5L16V1004,gagné,perdu,gagné,perdu,gagné,gagné,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V1005,gagné,perdu,gagné,perdu,gagné,gagné,perdu,gagné,gagné,perdu,perdu
VTANR5L16V1006,gagné,perdu,gagné,perdu,gagné,gagné,perdu,gagné,gagné,perdu,perdu
VTANR5L16V1007,gagné,pas joué,gagné,gagné,perdu,perdu,perdu,pas joué,gagné,pas joué,pas joué
VTANR5L16V1008,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,gagné,gagné,perdu,perdu
VTANR5L16V1009,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,gagné,gagné,perdu,perdu
VTANR5L16V101,gagné,perdu,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,perdu
VTANR5L16V1010,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,perdu
VTANR5L16V1011,gagné,perdu,gagné,perdu,gagné,gagné,perdu,gagné,gagné,perdu,perdu
VTANR5L16V1012,gagné,perdu,gagné,perdu,gagné,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V1013,gagné,gagné,gagné,pas joué,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V1014,gagné,perdu,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V1015,gagné,perdu,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,perdu,perdu
