@xmlns,@xmlns:xsi,@xsi:type,uid,codeType,libelle,libelleEdition,libelleAbrege,libelleAbrev,viMoDe,organeParent,chambre,regime,legislature,regimeJuridique,siteInternet,nombreReunionsAnnuelles,secretariat,listePays,positionPolitique,preseance,couleurAssociee
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeExtraParlementaire_type,PO528198,ORGEXTPARL,Conseil supérieur des gens de mer,du Conseil supérieur des gens de mer,Gens de mer,291,"{'dateDebut': '2011-12-30', 'dateAgrement': None, 'dateFin': None}",,,5ème République,,Article L. 5581-1 du code des transports,,3,,,,,
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeParlementaire_Type,PO810595,GE,Adoption,ADOPTION,ADOPTION,ADOPTION,"{'dateDebut': None, 'dateAgrement': '2022-12-07', 'dateFin': None}",,,5ème République,16,,,,"{'secretaire01': 'M. Pierre-Michel Berillon', 'secretaire02': None}",,,,
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeParlementaireInternational,PO808026,GA,France-Haïti,de France-Haïti,Haïti,HAI,"{'dateDebut': None, 'dateAgrement': '2022-06-22', 'dateFin': None}",,,5ème République,16,,,,"{'secretaire01': 'M. Éric Fournier', 'secretaire02': None}",{'paysRef': 'GOP756561'},,,
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeExtraParlementaire_type,PO418452,ORGEXTPARL,Conseil supérieur des archives,du Conseil supérieur des archives,Archives,246,"{'dateDebut': '2008-07-15', 'dateAgrement': None, 'dateFin': None}",,,5ème République,,Article L. 211-2-1 du code du patrimoine,https://francearchives.fr/fr/,2,,,,,
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeParlementaireInternational,PO807146,GA,France-Soudan,de France-Soudan,Soudan,SOUD,"{'dateDebut': None, 'dateAgrement': '2022-06-22', 'dateFin': None}",,,5ème République,16,,,,"{'secretaire01': None, 'secretaire02': None}",{'paysRef': 'GOP756532'},,,
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeParlementaire_Type,PO419865,COMPER,Commission du développement durable et de l'aménagement du territoire,de la commission du développement durable et de l'aménagement du territoire,Développement durable,CION-DVP,"{'dateDebut': '2009-06-25', 'dateAgrement': None, 'dateFin': None}",,,5ème République,,,,,"{'secretaire01': 'Mme Emmanuelle Lavie', 'secretaire02': None}",,,,
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeParlementaireInternational,PO807693,GA,France-Birmanie,de France-Birmanie,Birmanie,BIR,"{'dateDebut': None, 'dateAgrement': '2022-06-22', 'dateFin': None}",,,5ème République,16,,,,"{'secretaire01': 'M. Thierry Deilhes', 'secretaire02': None}",{'paysRef': 'GOP756460'},,,
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,GroupePolitique_type,PO800508,GP,Les Républicains,du groupe Les Républicains,LR,LR,"{'dateDebut': '2022-06-28', 'dateAgrement': None, 'dateFin': None}",,,5ème République,16,,,,"{'secretaire01': None, 'secretaire02': None}",,Opposition,4,#4565AD
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeParlementaireInternational,PO807431,GA,France-Islande,de France-Islande,Islande,ISL,"{'dateDebut': None, 'dateAgrement': '2022-06-22', 'dateFin': None}",,,5ème République,16,,,,"{'secretaire01': 'M. Julien Deroin', 'secretaire02': None}",{'paysRef': 'GOP756392'},,,
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeParlementaireInternational,PO808131,GA,France-Chine,de France-Chine,Chine,CHIN,"{'dateDebut': None, 'dateAgrement': '2022-06-22', 'dateFin': None}",,,5ème République,16,,,,"{'secretaire01': 'M. Adrien Laurent', 'secretaire02': None}",{'paysRef': 'GOP756453'},,,
