libelle,axe 1,axe 2,@xmlns,@xmlns:xsi,@xsi:type,codeType,libelleEdition,libelleAbrege,libelleAbrev,viMoDe,organeParent,chambre,regime,legislature,secretariat,listePays,regimeJuridique,siteInternet,nombreReunionsAnnuelles,positionPolitique,preseance,couleurAssociee
Écologiste - NUPES,-15.86119180569807,-8.962628850594893,http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,GroupePolitique_type,GP,du groupe Écologiste - NUPES,Ecolo - NUPES,ECOLO,"{'dateDebut': '2022-06-28', 'dateAgrement': None, 'dateFin': None}",,,5ème République,16.0,"{'secretaire01': None, 'secretaire02': None}",,,,,Opposition,8.0,#77AA79
La France insoumise - Nouvelle Union Populaire écologique et sociale,-18.19568590909604,-8.284160890609979,http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,GroupePolitique_type,GP,du groupe La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES,LFI-NUPES,"{'dateDebut': '2022-06-28', 'dateAgrement': None, 'dateFin': None}",,,5ème République,16.0,"{'secretaire01': None, 'secretaire02': None}",,,,,Opposition,3.0,#E42313
Socialistes et apparentés (membre de l’intergroupe NUPES),-11.725752962121748,-5.530953629721677,http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,GroupePolitique_type,GP,du groupe Socialistes et apparentés (membre de l’intergroupe NUPES),SOC,SOC,"{'dateDebut': '2022-06-28', 'dateAgrement': None, 'dateFin': None}",,,5ème République,16.0,"{'secretaire01': None, 'secretaire02': None}",,,,,Opposition,6.0,#DF84B5
Gauche démocrate et républicaine - NUPES,-10.833742365447023,-3.8642430940056443,http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,GroupePolitique_type,GP,du groupe de la Gauche démocrate et républicaine - NUPES,GDR - NUPES,GDR-NUPES,"{'dateDebut': '2022-06-28', 'dateAgrement': None, 'dateFin': None}",,,5ème République,16.0,"{'secretaire01': None, 'secretaire02': None}",,,,,Opposition,9.0,#991414
Démocrate (MoDem et Indépendants),11.967708318013015,-1.4015367068271527,http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,GroupePolitique_type,GP,du groupe Démocrate (MoDem et Indépendants),Dem,DEM,"{'dateDebut': '2022-06-28', 'dateAgrement': None, 'dateFin': None}",,,5ème République,16.0,"{'secretaire01': None, 'secretaire02': None}",,,,,Minoritaire,5.0,#CE5215
Horizons et apparentés,11.211490968193896,-1.2907683436261477,http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,GroupePolitique_type,GP,du groupe Horizons et apparentés,HOR,HOR,"{'dateDebut': '2022-06-28', 'dateAgrement': None, 'dateFin': None}",,,5ème République,16.0,"{'secretaire01': None, 'secretaire02': None}",,,,,Minoritaire,7.0,#32B3CA
Renaissance,13.74471631347686,-1.2529893997971535,http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,GroupePolitique_type,GP,du groupe Renaissance,RE,RE,"{'dateDebut': '2022-06-28', 'dateAgrement': None, 'dateFin': None}",,,5ème République,16.0,"{'secretaire01': None, 'secretaire02': None}",,,,,Majoritaire,1.0,#61468F
"Libertés, Indépendants, Outre-mer et Territoires",-4.841634928483222,-0.627982792984846,http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,GroupePolitique_type,GP,"du groupe Libertés, Indépendants, Outre-mer et Territoires",LIOT,LIOT,"{'dateDebut': '2022-06-28', 'dateAgrement': None, 'dateFin': None}",,,5ème République,16.0,"{'secretaire01': None, 'secretaire02': None}",,,,,Opposition,10.0,#F8D434
Non inscrit,-3.9914436806761193,1.488039008981666,http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,GroupePolitique_type,GP,des députés non inscrits,NI,NI,"{'dateDebut': '2022-06-22', 'dateAgrement': None, 'dateFin': None}",,,5ème République,16.0,"{'secretaire01': None, 'secretaire02': None}",,,,,,99.0,#8D949A
Les Républicains,1.4321600923032074,4.147780966643885,http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,GroupePolitique_type,GP,du groupe Les Républicains,LR,LR,"{'dateDebut': '2022-06-28', 'dateAgrement': None, 'dateFin': None}",,,5ème République,16.0,"{'secretaire01': None, 'secretaire02': None}",,,,,Opposition,4.0,#4565AD
Rassemblement National,-10.761714703184282,12.9819192694046,http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,GroupePolitique_type,GP,du groupe Rassemblement National,RN,RN,"{'dateDebut': '2022-06-28', 'dateAgrement': None, 'dateFin': None}",,,5ème République,16.0,"{'secretaire01': None, 'secretaire02': None}",,,,,Opposition,2.0,#35495E
