organe,gagné,perdu,total,pas joué,participation,performance
Écologiste - NUPES,597,752,1349,183,0.8643439584877687,0.4425500370644922
La France insoumise - Nouvelle Union Populaire écologique et sociale,492,796,1288,244,0.8105590062111802,0.38198757763975155
Socialistes et apparentés (membre de l’intergroupe NUPES),629,673,1302,230,0.8233486943164363,0.48310291858678955
Gauche démocrate et républicaine - NUPES,479,708,1187,345,0.7093513058129739,0.4035383319292334
Démocrate (MoDem et Indépendants),1359,139,1498,34,0.9773030707610146,0.9072096128170895
Horizons et apparentés,1321,127,1448,84,0.9419889502762431,0.912292817679558
Renaissance,1372,132,1504,28,0.9813829787234043,0.9122340425531915
"Libertés, Indépendants, Outre-mer et Territoires",683,435,1118,414,0.629695885509839,0.610912343470483
Non inscrit,640,435,1075,457,0.5748837209302325,0.5953488372093023
Les Républicains,992,349,1341,191,0.8575689783743475,0.7397464578672632
Rassemblement National,595,657,1252,280,0.7763578274760383,0.4752396166134185
