uid,nom,demandeur,organe,organeReuniRef,participants,cr
RUANR5L16S2023IDC446926,,,,PO810484,,
RUANR5L16S2023IDC446514,,,,PO59051,"[{'acteurRef': 'PA719866', 'presence': 'présent'}, {'acteurRef': 'PA719146', 'presence': 'absent'}, {'acteurRef': 'PA793278', 'presence': 'présent'}, {'acteurRef': 'PA721158', 'presence': 'absent'}, {'acteurRef': 'PA719558', 'presence': 'absent'}, {'acteurRef': 'PA793374', 'presence': 'absent'}, {'acteurRef': 'PA720430', 'presence': 'absent'}, {'acteurRef': 'PA793844', 'presence': 'absent'}, {'acteurRef': 'PA721816', 'presence': 'excusé'}, {'acteurRef': 'PA606507', 'presence': 'présent'}, {'acteurRef': 'PA330008', 'presence': 'présent'}, {'acteurRef': 'PA721336', 'presence': 'absent'}, {'acteurRef': 'PA793940', 'presence': 'absent'}, {'acteurRef': 'PA795508', 'presence': 'présent'}, {'acteurRef': 'PA795068', 'presence': 'présent'}, {'acteurRef': 'PA330240', 'presence': 'excusé'}, {'acteurRef': 'PA795136', 'presence': 'présent'}, {'acteurRef': 'PA794194', 'presence': 'présent'}, {'acteurRef': 'PA793928', 'presence': 'absent'}, {'acteurRef': 'PA721094', 'presence': 'excusé'}, {'acteurRef': 'PA721896', 'presence': 'présent'}, {'acteurRef': 'PA796132', 'presence': 'absent'}, {'acteurRef': 'PA793832', 'presence': 'absent'}, {'acteurRef': 'PA266797', 'presence': 'excusé'}, {'acteurRef': 'PA721296', 'presence': 'présent'}, {'acteurRef': 'PA721880', 'presence': 'excusé'}, {'acteurRef': 'PA793218', 'presence': 'présent'}, {'acteurRef': 'PA795958', 'presence': 'présent'}, {'acteurRef': 'PA722150', 'presence': 'excusé'}, {'acteurRef': 'PA793632', 'presence': 'présent'}, {'acteurRef': 'PA794022', 'presence': 'présent'}, {'acteurRef': 'PA719874', 'presence': 'excusé'}, {'acteurRef': 'PA267901', 'presence': 'excusé'}, {'acteurRef': 'PA335054', 'presence': 'absent'}, {'acteurRef': 'PA795998', 'presence': 'excusé'}, {'acteurRef': 'PA794130', 'presence': 'présent'}, {'acteurRef': 'PA721984', 'presence': 'présent'}, {'acteurRef': 'PA721466', 'presence': 'présent'}, {'acteurRef': 'PA795746', 'presence': 'absent'}, {'acteurRef': 'PA796026', 'presence': 'présent'}, {'acteurRef': 'PA793290', 'presence': 'présent'}, {'acteurRef': 'PA794838', 'presence': 'excusé'}, {'acteurRef': 'PA721932', 'presence': 'présent'}, {'acteurRef': 'PA795636', 'presence': 'absent'}, {'acteurRef': 'PA794114', 'presence': 'absent'}, {'acteurRef': 'PA342384', 'presence': 'absent'}, {'acteurRef': 'PA794322', 'presence': 'présent'}, {'acteurRef': 'PA720370', 'presence': 'présent'}, {'acteurRef': 'PA720908', 'presence': 'excusé'}, {'acteurRef': 'PA721960', 'presence': 'excusé'}, {'acteurRef': 'PA719202', 'presence': 'présent'}, {'acteurRef': 'PA718784', 'presence': 'absent'}, {'acteurRef': 'PA2449', 'presence': 'présent'}, {'acteurRef': 'PA796062', 'presence': 'absent'}, {'acteurRef': 'PA719600', 'presence': 'présent'}, {'acteurRef': 'PA795270', 'presence': 'absent'}, {'acteurRef': 'PA793306', 'presence': 'présent'}, {'acteurRef': 'PA720100', 'presence': 'absent'}, {'acteurRef': 'PA795966', 'presence': 'absent'}, {'acteurRef': 'PA794778', 'presence': 'présent'}, {'acteurRef': 'PA795876', 'presence': 'excusé'}, {'acteurRef': 'PA795410', 'presence': 'présent'}, {'acteurRef': 'PA722292', 'presence': 'absent'}, {'acteurRef': 'PA340343', 'presence': 'présent'}, {'acteurRef': 'PA721314', 'presence': 'absent'}, {'acteurRef': 'PA720754', 'presence': 'présent'}, {'acteurRef': 'PA720754', 'presence': 'absent'}, {'acteurRef': 'PA794930', 'presence': 'absent'}, {'acteurRef': 'PA794106', 'presence': 'présent'}, {'acteurRef': 'PA721584', 'presence': 'excusé'}, {'acteurRef': 'PA608695', 'presence': 'absent'}, {'acteurRef': 'PA794494', 'presence': 'présent'}, {'acteurRef': 'PA721262', 'presence': 'absent'}, {'acteurRef': 'PA2952', 'presence': 'absent'}]",CRCANR5L16S2023PO59051N030
RUANR5L16S2023IDS26432,,,,PO791932,,
RUANR5L16S2022IDC445625,,,,PO420120,,
RUANR5L15A2022IDF0161814,M. Bruno Studer,PA720754,,,,
RUANR5L16S2023IDFL448646,,,,PO807603,,
RUANR5L16S2023IDC446938,,,,PO808297,,
RUANR5L16S2023IDC447885,,,,PO808126,,
RUANR5L15A2022IDF0161518,M. Hubert Julien-Laferrière,PA722344,,,,
RUANR5L16S2023IDC448420,,,,PO59047,,
