uid,objet,type,date,seance,sort,identiques,amendement,sous_amendement,cr,url_scrutin,url_seance
VTANR5L16V1235,l'amendement n° 513 de M. Jean-Philippe Tanguy après l'article 13 du projet de loi relatif à l’accélération des procédures liées à la construction de nouvelles installations nucléaires à proximité de sites nucléaires existants et au fonctionnement des installations existantes (première lecture).,scrutin public ordinaire,2023-03-16,RUANR5L16S2023IDS26894,rejeté,False,True,False,CRSANR5L16S2023O1N181,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/1235,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N181
VTANR5L16V704,l'amendement n° 554 de Mme Mathilde Paris à l'article 3 (examen prioritaire) du projet de loi relatif à l'accélération de la production d'énergies renouvelables (première lecture).,scrutin public ordinaire,2022-12-08,RUANR5L16S2023IDS26604,rejeté,False,True,False,CRSANR5L16S2023O1N090,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/704,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N090
VTANR5L16V319,l'amendement n° 3248 de Mme Parmentier après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-14,RUANR5L16S2023IDS26397,rejeté,False,True,False,CRSANR5L16S2023O1N021,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/319,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N021
VTANR5L16V694,l'amendement n° 2189 de M. de Fournas à l'article 3 (examen prioritaire) du projet de loi relatif à l'accélération de la production d'énergies renouvelables (première lecture).,scrutin public ordinaire,2022-12-07,RUANR5L16S2023IDS26602,rejeté,False,True,False,CRSANR5L16S2023O1N088,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/694,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N088
VTANR5L16V1183,l'amendement n° 351 de M. Meurin à l'article 1er D du projet de loi relatif à l'accélération des procédures lièes à la construction de nouvelles installations nucléaires à proximité de sites nucléaires existants et au fonctionnement des installations existantes (première lecture).,scrutin public ordinaire,2023-03-14,RUANR5L16S2023IDS26880,rejeté,False,True,False,CRSANR5L16S2023O1N176,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/1183,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N176
VTANR5L16V845,l'amendement n° 24 de M. de Fournas après l'article premier de la proposition de loi visant à sécuriser l'approvisionnement des Français en produits de grande consommation (première lecture).,scrutin public ordinaire,2023-01-18,RUANR5L16S2023IDS26691,rejeté,False,True,False,CRSANR5L16S2023O1N121,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/845,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N121
VTANR5L16V1384,l'amendement n° 24 de Mme Parmentier après l'article 3 de la proposition de loi visant à mieux manger en soutenant les Français face à l'inflation et en favorisant l'accès à une alimentation saine (première lecture).,scrutin public ordinaire,2023-04-06,RUANR5L16S2023IDS26967,rejeté,False,True,False,CRSANR5L16S2023O1N207,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/1384,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N207
VTANR5L16V404,l'amendement n° 1892 de Mme Lechanteux à l'article 27 et État B de la seconde partie du projet de loi de finances pour 2023 (première lecture) - Mission Justice,scrutin public ordinaire,2022-10-27,RUANR5L16S2023IDS26418,rejeté,False,True,False,CRSANR5L16S2023O1N036,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/404,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N036
VTANR5L16V1508,l'amendement n° 153 de M. Rancoule à l'article premier de la proposition de loi visant à renforcer la prévention et la lutte contre l'intensification et l'extension du risque incendie (première lecture).,scrutin public ordinaire,2023-05-15,RUANR5L16S2023IDS27057,rejeté,False,True,False,CRSANR5L16S2023O1N232,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/1508,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N232
VTANR5L16V696,le sous-amendement n° 3088 de Mme Mathilde Paris à l'amendement n° 2200 de M. Alfandari à l'article 3 (examen prioritaire) du projet de loi relatif à l'accélération de la production d'énergies renouvelables (première lecture).,scrutin public ordinaire,2022-12-08,RUANR5L16S2023IDS26604,rejeté,False,True,True,CRSANR5L16S2023O1N090,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/696,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N090
VTANR5L16V1498,l'amendement n° 70 de Mme Parmentier après l'article unique de la proposition de loi visant à rendre obligatoire le pavoisement des drapeaux français et européen sur le fronton des mairies (première lecture).,scrutin public ordinaire,2023-05-10,RUANR5L16S2023IDS27040,rejeté,False,True,False,CRSANR5L16S2023O1N230,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/1498,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N230
VTANR5L16V825,l'amendement n° 26 de M. Bentz après l'article premier de la proposition de loi visant à favoriser et inciter les entreprises à augmenter les salaires nets de 10% (première lecture).,scrutin public ordinaire,2023-01-12,RUANR5L16S2023IDS26684,rejeté,False,True,False,CRSANR5L16S2023O1N113,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/825,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N113
VTANR5L16V1324,l'amendement n° 8 de M. Tivoli à l'article 1er A de la proposition de loi visant à protéger les logements contre l'occupation illicite (deuxième lecture).,scrutin public ordinaire,2023-03-29,RUANR5L16S2023IDS26942,rejeté,False,True,False,CRSANR5L16S2023O1N196,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/1324,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N196
VTANR5L16V631,l'amendement n° 42 rectifié de M. Hébrard à l'article premier de la proposition de loi portant réintégration du personnel des établissements de santé et de secours non-vacciné grâce à un protocole sanitaire renforcé (première lecture).,scrutin public ordinaire,2022-11-24,RUANR5L16S2023IDS26545,rejeté,False,True,False,CRSANR5L16S2023O1N069,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/631,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N069
VTANR5L16V29,l'amendement n° 332 de Mme Paris à l'article premier du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-19,RUANR5L16S2022IDS26206,rejeté,False,True,False,CRSANR5L16S2022E1N009,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/29,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2022E1N009
VTANR5L16V1630,l'amendement n° 252 de M. François à l'article 2 et rapport annexé du projet de loi relatif à la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,2023-05-25,RUANR5L16S2023IDS27074,rejeté,False,True,False,CRSANR5L16S2023O1N245,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/1630,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N245
VTANR5L16V1265,l'amendement n° 563 de Mme Colombier à l'article 7 du projet de loi relatif aux jeux Olympiques et Paralympiques de 2024 et portant diverses autres dispositions (première lecture).,scrutin public ordinaire,2023-03-22,RUANR5L16S2023IDS26889,rejeté,False,True,False,CRSANR5L16S2023O1N187,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/1265,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N187
VTANR5L16V1624,l'amendement n° 1471 de M. Gonzalez à l'article 2 et rapport annexé du projet de loi relatif à la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,2023-05-24,RUANR5L16S2023IDS27073,rejeté,False,True,False,CRSANR5L16S2023O1N244,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/1624,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N244
VTANR5L16V1135,l'amendement n° 95 de Mme Loir après l'article 2 de la proposition de loi relative à la prévention de l'exposition excessive des enfants aux écrans (première lecture).,scrutin public ordinaire,2023-03-07,RUANR5L16S2023IDS26860,rejeté,False,True,False,CRSANR5L16S2023O1N170,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/1135,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N170
VTANR5L16V1596,l'amendement n° 203 de M. Boccaletti à l'article 2 et rapport annexé du projet de loi relatif à la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,2023-05-23,RUANR5L16S2023IDS27070,rejeté,False,True,False,CRSANR5L16S2023O1N241,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/1596,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N241
