numero,texte,signataire,organe,dispositif,seance,sort,discussion_commune,discussion_identique,libelleAbrev,cr,url_seance,dispositif_plaintext,scrutin
43,PIONANR5L16BTC0912,PA793608,PO800520,"<p style=""text-align: justify;"">Dans un d&#233;lai de six mois &#224; compter de la promulgation de la pr&#233;sente loi, le Gouvernement remet au Parlement un rapport sur le dispositif &#171;&#160;Mon parcours psy&#160;&#187; ainsi que sur la possibilit&#233; d'aligner le tarif des s&#233;ances propos&#233;es par ce dispositif, dans le cadre d'une interruption spontan&#233;e de grossesse, sur les tarifs propos&#233;s, en moyenne, par les psychologues lib&#233;raux. Ce rapport &#233;value &#233;galement le co&#251;t que pourrait repr&#233;senter cette mesure pour l'Assurance maladie.</p>",RUANR5L16S2023IDS26863,Rejeté,,,RN,CRSANR5L16S2023O1N172,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N172,"Dans un délai de six mois à compter de la promulgation de la présente loi, le Gouvernement remet au Parlement un rapport sur le dispositif « Mon parcours psy » ainsi que sur la possibilité d'aligner le tarif des séances proposées par ce dispositif, dans le cadre d'une interruption spontanée de grossesse, sur les tarifs proposés, en moyenne, par les psychologues libéraux. Ce rapport évalue également le coût que pourrait représenter cette mesure pour l'Assurance maladie.",VTANR5L16V1153
40,PIONANR5L16BTC0912,PA793608,PO800520,"<p style=""text-align: justify;"">&#192;&#160;l&#8217;alin&#233;a&#160;4, apr&#232;s le mot&#160;:</p><p style=""text-align: justify;"">&#171;&#160;par&#160;&#187;,</p><p style=""text-align: justify;"">ins&#233;rer les mots&#160;:</p><p style=""text-align: justify;"">&#171;&#160;le m&#233;decin ou&#160;&#187;.</p>",RUANR5L16S2023IDS26863,Rejeté,,,RN,CRSANR5L16S2023O1N172,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N172,"À l’alinéa 4, après le mot :« par »,insérer les mots :« le médecin ou ».",
42,PIONANR5L16BTC0912,PA793608,PO800520,"<p style=""text-align: justify;"">Dans un d&#233;lai de six mois &#224; compter de la promulgation de la pr&#233;sente loi, le Gouvernement remet au Parlement un rapport sur le co&#251;t qu&#8217;engendrerait le financement en totalit&#233; du remboursement, dans le cadre d&#8217;une interruption spontan&#233;e de grossesse, de l&#8217;accompagnement psychologique mis en place par le dispositif &#171;&#160;Mon parcours psy&#160;&#187;, par les r&#233;gimes obligatoires de l&#8217;assurance maladie et maternit&#233;, pour les assur&#233;s ne b&#233;n&#233;ficiant pas de compl&#233;mentaire ou de mutuelle sant&#233;. Ce rapport &#233;value &#233;galement l&#8217;impact de cette mesure aupr&#232;s de la population vis&#233;e.</p>",RUANR5L16S2023IDS26863,Rejeté,,,RN,CRSANR5L16S2023O1N172,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N172,"Dans un délai de six mois à compter de la promulgation de la présente loi, le Gouvernement remet au Parlement un rapport sur le coût qu’engendrerait le financement en totalité du remboursement, dans le cadre d’une interruption spontanée de grossesse, de l’accompagnement psychologique mis en place par le dispositif « Mon parcours psy », par les régimes obligatoires de l’assurance maladie et maternité, pour les assurés ne bénéficiant pas de complémentaire ou de mutuelle santé. Ce rapport évalue également l’impact de cette mesure auprès de la population visée.",VTANR5L16V1152
41,PIONANR5L16BTC0912,PA793608,PO800520,"<p style=""text-align: justify;"">Au 1&#176;&#160;du II de l&#8217;article&#160;L.&#160;162&#8209;58 du code de la s&#233;curit&#233; sociale, apr&#232;s&#160;le mot&#160;: &#171;&#160;civile,&#160;&#187;, sont ins&#233;r&#233;s&#160;les mots&#160;: &#171;&#160;les s&#233;ances n&#8217;ayant pas &#233;t&#233; utilis&#233;es dans le cadre de l&#8217;ann&#233;e civile vis&#233;e pr&#233;c&#233;demment &#233;tant utilisables l&#8217;ann&#233;e suivante,&#160;&#187;.</p>",RUANR5L16S2023IDS26863,Retiré,,,RN,CRSANR5L16S2023O1N172,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N172,"Au 1° du II de l’article L. 162‑58 du code de la sécurité sociale, après le mot : « civile, », sont insérés les mots : « les séances n’ayant pas été utilisées dans le cadre de l’année civile visée précédemment étant utilisables l’année suivante, ».",
94,PIONANR5L16B1011,PA794582,PO800520,"<p style=""text-align: justify;"">&nbsp;</p><p style=""text-align: justify;"">&#x00C0; l&#x2019;alin&#x00E9;a&nbsp;2, substituer au nombre&nbsp;:</p><p style=""text-align: justify;"">&#x00AB;&nbsp;3 500&nbsp;&#x00BB;&nbsp;;</p><p style=""text-align: justify;"">le nombre&nbsp;:</p><p style=""text-align: justify;"">&#x00AB;&nbsp;67 000 000&nbsp;&#x00BB;.</p>",RUANR5L16S2023IDS27040,Rejeté,,,RN,CRSANR5L16S2023O1N230,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N230," À l’alinéa 2, substituer au nombre :« 3 500 » ;le nombre :« 67 000 000 ».",
70,PIONANR5L16B1011,PA794670,PO800520,"<p style=""text-align: justify;"">&#x00C0; la premi&#x00E8;re phrase de l&#x2019;article L.&nbsp;111&#x2011;1&#x2011;1 du code de l&#x2019;&#x00E9;ducation, les mots&nbsp;: &#x00AB;&nbsp;, le drapeau tricolore et le drapeau europ&#x00E9;en&nbsp;&#x00BB;&nbsp; sont remplac&#x00E9;s par les mots&nbsp;:&nbsp;&#x00AB;&nbsp;et le drapeau tricolore&nbsp;&#x00BB;.</p>",RUANR5L16S2023IDS27040,Rejeté,,,RN,CRSANR5L16S2023O1N230,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N230,"À la première phrase de l’article L. 111‑1‑1 du code de l’éducation, les mots : « , le drapeau tricolore et le drapeau européen »  sont remplacés par les mots : « et le drapeau tricolore ».",VTANR5L16V1498
65,PIONANR5L16BTC0909,PA794678,PO800520,"<p style=""text-align: justify;"">Compl&#233;ter cet article par les mots&#160;: </p><p style=""text-align: justify;"">&#171;&#160;ainsi que les &#233;crans num&#233;riques et outils connect&#233;s&#160;&#187;.</p>",RUANR5L16S2023IDS26860,Rejeté,,,RN,CRSANR5L16S2023O1N170,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N170,Compléter cet article par les mots : « ainsi que les écrans numériques et outils connectés ».,
96,PIONANR5L16BTC0909,PA793672,PO800520,"<p style=""text-align: justify;"">&#192; la&#160;seconde phrase de l&#8217;alin&#233;a&#160;9, supprimer les mots&#160;:</p><p style=""text-align: justify;"">&#171;&#160;et &#224; la demande de ces professionnels&#160;&#187;.</p>",RUANR5L16S2023IDS26858,Rejeté,,,RN,CRSANR5L16S2023O1N167,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N167,"À la seconde phrase de l’alinéa 9, supprimer les mots :« et à la demande de ces professionnels ».",VTANR5L16V1123
15,PIONANR5L16BTC0909,PA795912,PO800520,"<p style=""text-align: justify;"">I.&#160;&#8211;&#160;&#192; l&#8217;alin&#233;a&#160;10, apr&#232;s le mot&#160;:</p><p style=""text-align: justify;"">&#171;&#160;physique&#160;&#187;,</p><p style=""text-align: justify;"">ins&#233;rer le mot&#160;:</p><p style=""text-align: justify;"">&#171;&#160;, relationnel&#160;&#187;.&#160;</p><p style=""text-align: justify;"">II.&#160;&#8211;&#160;En cons&#233;quence, proc&#233;der &#224; la m&#234;me insertion &#224; l&#8217;alin&#233;a&#160;11.</p>",RUANR5L16S2023IDS26858,Rejeté,,,RN,CRSANR5L16S2023O1N167,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N167,"I. – À l’alinéa 10, après le mot :« physique »,insérer le mot :« , relationnel ». II. – En conséquence, procéder à la même insertion à l’alinéa 11.",VTANR5L16V1125
66,PIONANR5L16BTC0909,PA794678,PO800520,"<p style=""text-align: justify;"">&#192; l&#8217;alin&#233;a&#160;6, apr&#232;s la seconde occurrence du mot&#160;:&#160;</p><p style=""text-align: justify;"">&#171;&#160;dans&#160;&#187;</p><p style=""text-align: justify;"">ins&#233;rer les mots&#160;:&#160;</p><p style=""text-align: justify;"">&#171;&#160;les &#233;coles primaires et&#160;&#187;.</p>",RUANR5L16S2023IDS26858,Rejeté,,,RN,CRSANR5L16S2023O1N167,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N167,"À l’alinéa 6, après la seconde occurrence du mot : « dans »insérer les mots : « les écoles primaires et ».",
