acteurRef,mandatRef,parDelegation,position,organe,date,scrutin,groupe_majorite,nom,prenom,civ,libelleAbrev
PA718850,PM796203,False,pour,PO800508,2023-03-16,VTANR5L16V1235,pour,Cordier,Pierre,M.,LR
PA719318,PM796470,False,pour,PO800508,2023-03-16,VTANR5L16V1235,pour,Anthoine,Emmanuelle,Mme,LR
PA720630,PM797094,False,pour,PO800508,2023-03-16,VTANR5L16V1235,pour,Minot,Maxime,M.,LR
PA721816,PM797571,False,pour,PO800508,2022-12-08,VTANR5L16V704,pour,Boucard,Ian,M.,LR
PA330909,PM796314,False,pour,PO800508,2022-12-08,VTANR5L16V704,pour,Descoeur,Vincent,M.,LR
PA266793,PM796317,False,pour,PO800508,2022-12-08,VTANR5L16V704,pour,Bony,Jean-Yves,M.,LR
PA340343,PM796275,False,pour,PO800496,2022-12-08,VTANR5L16V704,pour,Saulignac,Hervé,M.,SOC
PA342415,PM796659,False,pour,PO800496,2022-12-08,VTANR5L16V704,pour,Battistel,Marie-Noëlle,Mme,SOC
PA342196,PM796695,False,pour,PO800496,2022-12-08,VTANR5L16V704,pour,Rouaux,Claudia,Mme,SOC
PA643192,PM797097,False,pour,PO800496,2022-12-08,VTANR5L16V704,pour,Jourdan,Chantal,Mme,SOC
PA719608,PM796593,False,pour,PO793087,2022-12-08,VTANR5L16V704,pour,Ménard,Emmanuelle,Mme,NI
PA346782,PM797691,False,pour,PO800508,2022-10-14,VTANR5L16V319,pour,Juvin,Philippe,M.,LR
PA719608,PM796593,False,pour,PO793087,2022-10-14,VTANR5L16V319,pour,Ménard,Emmanuelle,Mme,NI
PA1327,PM796632,False,pour,PO800508,2022-12-07,VTANR5L16V694,pour,Forissier,Nicolas,M.,LR
PA346054,PM797679,False,pour,PO800508,2022-12-07,VTANR5L16V694,pour,Maquet,Emmanuel,M.,LR
PA793476,PM796344,False,pour,PO800508,2022-12-07,VTANR5L16V694,pour,Dubois,Francis,M.,LR
PA330909,PM796314,False,pour,PO800508,2022-12-07,VTANR5L16V694,pour,Descoeur,Vincent,M.,LR
PA266793,PM796317,False,pour,PO800508,2022-12-07,VTANR5L16V694,pour,Bony,Jean-Yves,M.,LR
PA794114,PM796719,False,pour,PO800484,2022-12-07,VTANR5L16V694,contre,Mandon,Emmanuel,M.,DEM
PA719608,PM796593,False,pour,PO793087,2022-12-07,VTANR5L16V694,pour,Ménard,Emmanuelle,Mme,NI
PA721118,PM797376,False,pour,PO800502,2023-03-14,VTANR5L16V1183,pour,Brotherson,Moetai,M.,GDR-NUPES
PA720092,PM796857,False,pour,PO800484,2023-01-18,VTANR5L16V845,contre,Ramos,Richard,M.,DEM
PA309643,PM797403,False,pour,PO793087,2023-01-18,VTANR5L16V845,pour,Besse,Véronique,Mme,NI
PA719608,PM796593,False,pour,PO793087,2022-10-27,VTANR5L16V404,pour,Ménard,Emmanuelle,Mme,NI
PA720630,PM797094,False,pour,PO800508,2023-05-15,VTANR5L16V1508,contre,Minot,Maxime,M.,LR
PA1008,PM796623,False,pour,PO800496,2023-05-15,VTANR5L16V1508,pour,David,Alain,M.,SOC
PA1327,PM796632,False,pour,PO800508,2022-12-08,VTANR5L16V696,pour,Forissier,Nicolas,M.,LR
