acteurRef,scrutin,nom,libelleAbrev
PA719608,140,Ménard,NI
PA720630,41,Minot,LR
PA721816,32,Boucard,LR
PA793476,30,Dubois,LR
PA267429,26,Cinieri,LR
PA795244,24,Lenormand,LIOT
PA719318,22,Anthoine,LR
PA793508,21,Brigand,LR
PA266793,19,Bony,LR
PA718850,18,Cordier,LR
PA722308,18,Serre,LR
PA721486,17,Naegelen,LIOT
PA342240,17,Bourgeaux,LR
PA722390,16,Corneloup,LR
PA330008,16,Breton,LR
PA330909,15,Descoeur,LR
PA607619,14,Molac,LIOT
PA721046,14,Bassire,LIOT
PA642847,14,Bazin,LR
PA1206,14,Dupont-Aignan,NI
PA718884,13,Bazin-Malgras,LR
PA720386,13,Di Filippo,LR
PA608016,12,Louwagie,LR
PA643134,12,Valentin,LR
PA607090,12,Vigier,LR
PA718784,12,Pauget,LR
PA346782,12,Juvin,LR
PA721442,11,Petex-Levet,LR
PA332523,11,Dalloz,LR
PA794038,11,Neuder,LR
PA346054,10,Maquet,LR
PA794178,10,Taite,LR
PA793094,10,Ray,LR
PA720976,10,Mathiasin,LIOT
PA720586,9,Vatin,LR
PA794410,9,Seitlinger,LR
PA720644,8,Nury,LR
PA608826,8,Duby-Muller,LR
PA1874,7,Le Fur,LR
PA643143,7,Baptiste,SOC
PA309643,7,Besse,NI
PA720684,6,Dumont,LR
PA795998,6,K/Bidi,GDR-NUPES
PA721410,6,Bonnivard,LR
PA1008,6,David,SOC
PA794994,5,Portier,LR
PA794702,5,Lingemann,DEM
PA330240,5,Ciotti,LR
PA796078,5,Youssouffa,LIOT
PA795270,5,Poussier-Winsback,HOR
PA719272,5,Meunier,LR
PA267766,5,Bricout,LIOT
PA774954,5,Blin,LR
PA783457,5,Habert-Dassault,LR
PA606098,5,Marleix,LR
PA718838,5,Brun,LR
PA794058,5,Gruet,LR
PA719286,4,Colombani,LIOT
PA605069,4,Bricout,LIOT
PA942,4,de Courson,LIOT
PA793980,4,Fournier,ECOLO
PA793796,4,Taupiac,LIOT
PA267901,4,Kamardine,LR
PA721522,4,Batut,RE
PA793342,4,Martin,LR
PA332228,4,Benoit,HOR
PA795820,4,Nadeau,GDR-NUPES
PA795926,4,Pellerin,RE
PA266797,3,Gosselin,LR
PA774958,3,Leseul,SOC
PA793572,3,Plassard,HOR
PA643089,3,Thiériot,LR
PA267336,3,Giraud,RE
PA795762,3,Califer,SOC
PA720932,3,Da Silva,RE
PA342196,3,Rouaux,SOC
PA719640,3,Mette,DEM
PA643192,3,Jourdan,SOC
PA333421,3,Pancher,LIOT
PA720446,3,Liso,RE
PA795664,3,Midy,RE
PA721984,3,Latombe,DEM
PA720362,3,Belhaddad,RE
PA267324,3,Gaultier,LR
PA794626,3,Saint-Huile,LIOT
PA795636,3,Lucas,ECOLO
PA795604,3,Folest,DEM
PA712015,3,Dive,LR
PA1327,3,Forissier,LR
PA794914,3,Vincendet,LR
PA719146,3,Acquaviva,LIOT
PA793270,3,Rousset,RE
PA721118,3,Brotherson,GDR-NUPES
PA796010,3,Maillot,GDR-NUPES
PA610654,3,Nilor,LFI-NUPES
PA719024,3,Blanchet,DEM
PA721474,3,Viry,LR
PA721466,3,Le Gendre,RE
PA795258,2,Gumbs,DEM
PA722102,2,Vidal,RE
PA610002,2,Sas,ECOLO
PA722292,2,Rudigoz,RE
PA722150,2,Houlié,RE
PA721852,2,Lebec,RE
PA721584,2,Terlier,RE
PA793122,2,Daubié,DEM
PA793560,2,Babault,DEM
PA793210,2,Panifous,LIOT
