,civ,mots,mots,texte,seance,parole,interruption
,first,sum,mean,count,<lambda>,sum,sum
nom,,,,,,,
Chenu,M.,102950,20.499800876144963,5022,106,2957,555
Laporte,Mme,76744,19.355359394703658,3965,42,2594,224
Tanguy,M.,62503,71.35045662100457,876,108,528,348
Jacobelli,M.,32243,30.736892278360344,1049,128,284,765
Le Pen,Mme,31050,62.1,500,81,298,202
Lavalette,Mme,22930,74.93464052287581,306,74,158,148
Meurin,M.,22744,71.52201257861635,318,53,240,78
Dessigny,M.,17816,11.614080834419818,1534,176,57,1477
Mauvieux,M.,16410,101.92546583850931,161,54,144,17
Lottiaux,M.,15997,144.11711711711712,111,35,87,24
Guitton,M.,15808,107.5374149659864,147,28,140,7
de Lépinau,M.,13273,88.48666666666666,150,45,120,28
Berteloot,M.,13157,117.47321428571429,112,30,86,26
de Fournas,M.,13060,43.102310231023104,303,77,133,170
Loubet,M.,12563,82.65131578947368,152,33,120,32
Giletti,M.,11544,99.51724137931035,116,20,70,46
Rancoule,M.,11439,100.34210526315789,114,29,99,15
Ménagé,M.,11001,35.03503184713376,314,79,89,225
Salmon,M.,10886,22.261758691206545,489,128,98,391
Sabatou,M.,10564,124.28235294117647,85,18,69,16
Gonzalez,M.,10284,131.84615384615384,78,20,75,3
Houssin,M.,10086,121.51807228915662,83,18,79,4
Masson,M.,10065,97.71844660194175,103,25,85,18
Parmentier,Mme,9966,29.660714285714285,336,75,77,259
Mélin,Mme,9491,243.35897435897436,39,16,39,0
Dragon,M.,9025,81.30630630630631,111,21,104,7
Chudeau,M.,8914,74.90756302521008,119,37,84,35
Gillet,M.,8896,109.82716049382717,81,25,69,12
Lechanteux,Mme,8432,81.07692307692308,104,32,61,43
Paris,Mme,8407,103.79012345679013,81,24,74,7
Galzy,Mme,8117,106.80263157894737,76,34,63,13
Bentz,M.,7949,88.32222222222222,90,38,72,18
Meizonnet,M.,7754,79.9381443298969,97,34,69,28
Diaz,Mme,7580,75.8,100,24,93,7
Taverne,M.,7469,69.1574074074074,108,37,82,26
Falcon,M.,7349,167.02272727272728,44,18,41,3
Colombier,Mme,7193,84.62352941176471,85,33,60,25
Allisio,M.,7104,208.94117647058823,34,16,30,4
Tivoli,M.,7025,130.09259259259258,54,25,47,7
Frappé,M.,6825,189.58333333333334,36,17,36,0
Odoul,M.,6731,44.57615894039735,151,41,66,85
Marchio,M.,6462,121.9245283018868,53,21,47,6
Pfeffer,M.,6378,125.05882352941177,51,22,29,22
Lopez-Liguori,M.,6283,116.35185185185185,54,20,41,13
Catteau,M.,5890,109.07407407407408,54,24,43,11
Cabrolier,M.,5660,72.56410256410257,78,28,37,41
François,M.,5399,58.053763440860216,93,34,36,57
Jolly,M.,5388,141.78947368421052,38,13,38,0
Taché de la Pagerie,M.,5260,67.43589743589743,78,23,47,31
Robert-Dehault,Mme,5137,142.69444444444446,36,17,33,3
Ballard,M.,5061,92.01818181818182,55,18,42,13
Lorho,Mme,4924,169.79310344827587,29,13,26,3
Hamelet,Mme,4742,131.72222222222223,36,13,29,7
Guiniot,M.,4640,193.33333333333334,24,11,23,1
Roullaud,Mme,4446,59.28,75,32,34,41
Lelouis,Mme,4415,133.78787878787878,33,13,33,0
Bordes,Mme,4333,144.43333333333334,30,8,30,0
Blairy,M.,4018,138.55172413793105,29,15,25,4
Boccaletti,M.,4017,19.98507462686567,201,82,21,180
Buisson,M.,4009,70.33333333333333,57,26,21,36
Ranc,Mme,3780,164.34782608695653,23,15,22,1
Blanc,Mme,3778,188.9,20,12,17,3
Menache,Mme,3747,59.476190476190474,63,22,25,38
Schreck,M.,3609,133.66666666666666,27,7,26,1
Goulet,Mme,3600,109.0909090909091,33,23,24,9
Muller,M.,3465,150.65217391304347,23,13,19,4
Engrand,Mme,3081,220.07142857142858,14,7,14,0
Dogor-Such,Mme,2974,118.96,25,10,24,1
Bilde,M.,2840,88.75,32,12,18,14
Villedieu,M.,2755,83.48484848484848,33,13,26,7
Baubry,M.,2702,112.58333333333333,24,11,23,1
Levavasseur,Mme,2421,201.75,12,7,11,1
Martinez,Mme,2362,98.41666666666667,24,13,22,2
Hébrard,M.,2357,196.41666666666666,12,7,9,3
Grangier,Mme,2217,277.125,8,7,7,1
Loir,Mme,2066,86.08333333333333,24,7,21,3
Auzanot,Mme,1990,94.76190476190476,21,10,15,6
Sabatini,Mme,1943,129.53333333333333,15,7,14,1
Barthès,M.,1751,83.38095238095238,21,13,11,10
Cousin,Mme,1746,145.5,12,7,10,2
Pollet,Mme,1634,136.16666666666666,12,9,7,5
Grenon,M.,1254,209.0,6,4,5,1
Rambaud,M.,1088,136.0,8,5,7,1
Beaurain,M.,1038,31.454545454545453,33,18,6,27
Frigout,Mme,1018,127.25,8,4,8,0
Bovet,M.,1006,91.45454545454545,11,6,9,2
Girard,M.,817,163.4,5,4,4,1
Da Conceicao Carvalho,Mme,593,148.25,4,2,4,0
