uid,objet,type,date,seance,sort
VTANR5L16V375,l'amendement n° 609 de M. Guedj après l'article 32 (examen prioritaire) du projet de loi de financement de la sécurité sociale pour 2023 (première lecture).,scrutin public ordinaire,2022-10-25,RUANR5L16S2023IDS26461,rejeté
VTANR5L16V791,le sous-amendement n° 3228 de M. Fournier à l'amendement n° 2996 de M. Bothorel à l'article 11 decies du projet de loi relatif à l'accélération de la production d'énergies renouvelables (première lecture).,scrutin public ordinaire,2022-12-14,RUANR5L16S2023IDS26639,rejeté
VTANR5L16V67,l'amendement de suppression n° 213 de Mme Batho et les amendements identiques suivants à l'article 14 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-21,RUANR5L16S2022IDS26212,rejeté
VTANR5L16V1147,l'amendement n° 7 de Mme Garin et l'amendement identique suivant après l'article premier de la proposition de loi visant à favoriser l'accompagnement des couples confrontés à une fausse couche (première lecture).,scrutin public ordinaire,2023-03-08,RUANR5L16S2023IDS26863,rejeté
VTANR5L16V709,l'amendement n° 2886 de Mme Laernoes à l'article 3 (examen prioritaire) du projet de loi relatif à l'accélération de la production d'énergies renouvelables (première lecture).,scrutin public ordinaire,2022-12-08,RUANR5L16S2023IDS26604,rejeté
VTANR5L16V140,l'amendement n° 188 de M. Castellani à l'article 6 et État B du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-25,RUANR5L16S2022IDS26214,rejeté
VTANR5L16V1775,l'amendement de suppression n° 7 de M. Guedj et les amendements identiques suivants à l'article 2 du projet de loi d'approbation des comptes de la sécurité sociale pour l'année 2022 (première lecture).,scrutin public ordinaire,2023-06-06,RUANR5L16S2023IDS27159,rejeté
VTANR5L16V372,l'amendement n° 484 (rect.) de la commission des affaires sociales et l'amendement identique suivant après l'article 32 (examen prioritaire) du projet de loi de financement de la sécurité sociale pour 2023 (première lecture).,scrutin public ordinaire,2022-10-25,RUANR5L16S2023IDS26461,adopté
VTANR5L16V1648,l'amendement n° 295 du Gouvernement à l'article 2 et rapport annexé du projet de loi relatif à la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,2023-05-25,RUANR5L16S2023IDS27076,adopté
VTANR5L16V742,l'amendement n° 2081 de M. Bayou après l'article 11 ter du projet de loi relatif à l'accélération de la production d'énergies renouvelables (première lecture).,scrutin public ordinaire,2022-12-09,RUANR5L16S2023IDS26608,adopté
VTANR5L16V80,l'amendement n° 907 de M. Nilor après l'article 20 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-21,RUANR5L16S2022IDS26212,rejeté
VTANR5L16V1235,l'amendement n° 513 de M. Jean-Philippe Tanguy après l'article 13 du projet de loi relatif à l’accélération des procédures liées à la construction de nouvelles installations nucléaires à proximité de sites nucléaires existants et au fonctionnement des installations existantes (première lecture).,scrutin public ordinaire,2023-03-16,RUANR5L16S2023IDS26894,rejeté
VTANR5L16V932,l'article 3 bis de la proposition de loi visant à protéger le groupe Électricité de France d'un démembrement (première lecture).,scrutin public ordinaire,2023-02-09,RUANR5L16S2023IDS26785,adopté
VTANR5L16V1000,l'amendement n° 5626 de Mme Panot et l'amendement identique suivant après l'article 2 du projet de loi de financement rectificative de la sécurité sociale pour 2023 (première lecture).,scrutin public ordinaire,2023-02-16,RUANR5L16S2023IDS26796,rejeté
VTANR5L16V666,l'amendement n° 2863 de M. Vermorel-Marques à l'article 1er CA (supprimé) du projet de loi relatif à l'accélération de la production d'énergies renouvelables (première lecture).,scrutin public ordinaire,2022-12-06,RUANR5L16S2023IDS26600,rejeté
VTANR5L16V704,l'amendement n° 554 de Mme Mathilde Paris à l'article 3 (examen prioritaire) du projet de loi relatif à l'accélération de la production d'énergies renouvelables (première lecture).,scrutin public ordinaire,2022-12-08,RUANR5L16S2023IDS26604,rejeté
VTANR5L16V319,l'amendement n° 3248 de Mme Parmentier après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-14,RUANR5L16S2023IDS26397,rejeté
VTANR5L16V686,l'amendement n° 2078 de M. Nury à l'article 3 (examen prioritaire) du projet de loi relatif à l'accélération de la production d'énergies renouvelables (première lecture).,scrutin public ordinaire,2022-12-07,RUANR5L16S2023IDS26602,rejeté
VTANR5L16V694,l'amendement n° 2189 de M. de Fournas à l'article 3 (examen prioritaire) du projet de loi relatif à l'accélération de la production d'énergies renouvelables (première lecture).,scrutin public ordinaire,2022-12-07,RUANR5L16S2023IDS26602,rejeté
VTANR5L16V1802,l'amendement de suppression n° 40 de M. Neuder et les amendements identiques suivants à l'article premier de la proposition de loi visant à améliorer l'accès aux soins par l'engagement territorial des professionnels (première lecture).,scrutin public ordinaire,2023-06-12,RUANR5L16S2023IDS27238,rejeté
VTANR5L16V235,"la motion de rejet préalable, déposée par Mme Mathilde Panot, du projet de loi de finances pour 2023 (première lecture).",scrutin public ordinaire,2022-10-10,RUANR5L16S2023IDS26386,rejeté
VTANR5L16V1555,l'amendement n° 144 de Mme Pochon après l'article 15 de la proposition de loi visant à renforcer la prévention et la lutte contre l'intensification et l'extension du risque incendie (première lecture).,scrutin public ordinaire,2023-05-17,RUANR5L16S2023IDS27061,rejeté
VTANR5L16V1199,l'amendement n° 672 de M. Bex après l'article 11 bis du projet de loi relatif à l’accélération des procédures liées à la construction de nouvelles installations nucléaires à proximité de sites nucléaires existants et au fonctionnement des installations existantes (première lecture).,scrutin public ordinaire,2023-03-15,RUANR5L16S2023IDS26881,rejeté
VTANR5L16V357,l'article 4 du projet de loi de financement de la sécurité sociale pour 2023 (première lecture).,scrutin public ordinaire,2022-10-20,RUANR5L16S2023IDS26405,rejeté
VTANR5L16V1079,l'amendement n° 3283 de Mme Manon Meunier et les amendements identiques suivants après l'article 2 du projet de loi de financement rectificative de la sécurité sociale pour 2023 (première lecture).,scrutin public ordinaire,2023-02-17,RUANR5L16S2023IDS26803,rejeté
VTANR5L16V891,l'ensemble de la proposition de loi visant à limiter l'engrillagement des espaces naturels et à protéger la propriété privée (deuxième lecture).,scrutin public ordinaire,2023-01-25,RUANR5L16S2023IDS26739,adopté
VTANR5L16V1414,l'amendement n° 15 de M. Castellani à l'article premier de la proposition de loi portant mesures pour bâtir la société du bien vieillir en France (première lecture).,scrutin public ordinaire,2023-04-12,RUANR5L16S2023IDS26999,rejeté
VTANR5L16V149,l'amendement n° 282 de Mme Maximi à l'article 6 et État B du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-25,RUANR5L16S2022IDS26214,rejeté
VTANR5L16V1136,l'amendement n° 102 de M. Peytavie et l'amendement identique suivant après l'article 3 de la proposition de loi relative à la prévention de l'exposition excessive des enfants aux écrans (première lecture).,scrutin public ordinaire,2023-03-07,RUANR5L16S2023IDS26860,adopté
VTANR5L16V834,l'amendement n° 66 (rect.) du Gouvernement et les amendements identiques suivants à l'article premier de la proposition de loi créant une aide universelle d'urgence pour les victimes de violences conjugales et intrafamiliales (première lecture).,scrutin public ordinaire,2023-01-16,RUANR5L16S2023IDS26687,adopté
VTANR5L16V423,l'amendement n° 1056 de M. Davi à l'article 27 et État B de la seconde partie du projet de loi de finances pour 2023 (première lecture) - Mission Culture.,scrutin public ordinaire,2022-10-28,RUANR5L16S2023IDS26420,rejeté
VTANR5L16V1404,l'amendement n° 51 de M. Bayou après l'article premier de la proposition de loi visant à interdire les vols en jets privés (première lecture).,scrutin public ordinaire,2023-04-06,RUANR5L16S2023IDS26968,rejeté
VTANR5L16V1183,l'amendement n° 351 de M. Meurin à l'article 1er D du projet de loi relatif à l'accélération des procédures lièes à la construction de nouvelles installations nucléaires à proximité de sites nucléaires existants et au fonctionnement des installations existantes (première lecture).,scrutin public ordinaire,2023-03-14,RUANR5L16S2023IDS26880,rejeté
VTANR5L16V227,l'article 2 de la proposition de loi visant à limiter l'engrillagement des espaces naturels et à protéger la propriété privée (première lecture).,scrutin public ordinaire,2022-10-06,RUANR5L16S2023IDS26384,adopté
VTANR5L16V1512,l'article 2 bis de la proposition de loi visant à renforcer la prévention et la lutte contre l'intensification et l'extension du risque incendie (première lecture).,scrutin public ordinaire,2023-05-15,RUANR5L16S2023IDS27058,adopté
VTANR5L16V1507,l'amendement n° 401 de M. Chauche à l'article premier de la proposition de loi visant à renforcer la prévention et la lutte contre l'intensification et l'extension du risque incendie (première lecture).,scrutin public ordinaire,2023-05-15,RUANR5L16S2023IDS27057,rejeté
VTANR5L16V804,l'amendement n° 2533 de M. Laisney à l'article 16 nonies du projet de loi relatif à l'accélération de la production d'énergies renouvelables (première lecture).,scrutin public ordinaire,2022-12-15,RUANR5L16S2023IDS26640,rejeté
VTANR5L16V845,l'amendement n° 24 de M. de Fournas après l'article premier de la proposition de loi visant à sécuriser l'approvisionnement des Français en produits de grande consommation (première lecture).,scrutin public ordinaire,2023-01-18,RUANR5L16S2023IDS26691,rejeté
VTANR5L16V1212,l'amendement n° 236 de Mme Petex-Levet après l'article 4 du projet de loi relatif à l’accélération des procédures liées à la construction de nouvelles installations nucléaires à proximité de sites nucléaires existants et au fonctionnement des installations existantes (première lecture).,scrutin public ordinaire,2023-03-16,RUANR5L16S2023IDS26883,rejeté
VTANR5L16V582,l'article 6 bis du projet de loi d'orientation et de programmation du ministère de l'intérieur (première lecture).,scrutin public ordinaire,2022-11-16,RUANR5L16S2023IDS26502,adopté
VTANR5L16V1040,l'amendement n° 3189 de Mme Manon Meunier et les amendements identiques suivants après l'article 2 du projet de loi de financement rectificative de la sécurité sociale pour 2023 (première lecture).,scrutin public ordinaire,2023-02-17,RUANR5L16S2023IDS26803,rejeté
VTANR5L16V1253,l'article 4 du projet de loi relatif aux jeux Olympiques et Paralympiques de 2024 et portant diverses autres dispositions (première lecture).,scrutin public ordinaire,2023-03-21,RUANR5L16S2023IDS26887,adopté
VTANR5L16V1101,l'amendement n° 49 de Mme Lechanteux et l'amendement identique suivant à l'article premier de la proposition de loi visant à mieux lutter contre la récidive (première lecture).,scrutin public ordinaire,2023-03-02,RUANR5L16S2023IDS26844,rejeté
VTANR5L16V1384,l'amendement n° 24 de Mme Parmentier après l'article 3 de la proposition de loi visant à mieux manger en soutenant les Français face à l'inflation et en favorisant l'accès à une alimentation saine (première lecture).,scrutin public ordinaire,2023-04-06,RUANR5L16S2023IDS26967,rejeté
VTANR5L16V1002,l'amendement n° 3125 de Mme Maximi après l'article 2 du projet de loi de financement rectificative de la sécurité sociale pour 2023 (première lecture).,scrutin public ordinaire,2023-02-16,RUANR5L16S2023IDS26796,rejeté
VTANR5L16V1355,l'amendement n° 108 de Mme Spillebout à l'article 2 D de la proposition de loi visant à lutter contre les arnaques et les dérives des influenceurs sur les réseaux sociaux (première lecture).,scrutin public ordinaire,2023-03-30,RUANR5L16S2023IDS26945,adopté
VTANR5L16V1795,l'amendement n° 42 de M. Fugit après l'article 4 de la proposition de loi visant à renforcer la continuité territoriale en Outre-Mer (première lecture).,scrutin public ordinaire,2023-06-08,RUANR5L16S2023IDS27179,adopté
VTANR5L16V553,l'amendement n° 314 de M. Echaniz avant l'article 9 du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-11-08,RUANR5L16S2023IDS26555,rejeté
VTANR5L16V1087,l'amendement n° 3481 de M. Ruffin et les amendements identiques suivants après l'article 2 du projet de loi de financement rectificative de la sécurité sociale pour 2023 (première lecture).,scrutin public ordinaire,2023-02-17,RUANR5L16S2023IDS26803,rejeté
VTANR5L16V404,l'amendement n° 1892 de Mme Lechanteux à l'article 27 et État B de la seconde partie du projet de loi de finances pour 2023 (première lecture) - Mission Justice,scrutin public ordinaire,2022-10-27,RUANR5L16S2023IDS26418,rejeté
VTANR5L16V626,l'amendement de suppression n° 1 de Mme Ménard et les amendements identiques suivants à l'article unique de la proposition de loi constitutionnelle visant à protéger et à garantir le droit fondamental à l'interruption volontaire de grossesse et à la contraception (première lecture).,scrutin public ordinaire,2022-11-24,RUANR5L16S2023IDS26543,rejeté
VTANR5L16V833,le sous-amendement n° 78 de M. Cinieri à l'amendement n° 66 (rect.) du Gouvernement et aux amendements identiques suivants à l'article premier de la proposition de loi créant une aide universelle d'urgence pour les victimes de violences conjugales et intrafamiliales (première lecture).,scrutin public ordinaire,2023-01-16,RUANR5L16S2023IDS26687,adopté
VTANR5L16V1508,l'amendement n° 153 de M. Rancoule à l'article premier de la proposition de loi visant à renforcer la prévention et la lutte contre l'intensification et l'extension du risque incendie (première lecture).,scrutin public ordinaire,2023-05-15,RUANR5L16S2023IDS27057,rejeté
VTANR5L16V821,l'amendement n° 742 de M. Schellenberger après l'article 28 du projet de loi relatif à l'accélération de la production d'énergies renouvelables (première lecture).,scrutin public ordinaire,2022-12-15,RUANR5L16S2023IDS26641,rejeté
VTANR5L16V114,l'amendement n° 892 de Mme Sas après l'article 3 du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-23,RUANR5L16S2022IDS26278,rejeté
VTANR5L16V1489,"l'amendement n° 3 de Mme Maximi à l'article unique de la proposition de résolution tendant à la création d'une commission d'enquête sur la structuration, le financement, les moyens et les modalités d'action des groupuscules auteurs de violences à l'occasion de manifestations et rassemblements intervenus entre le 16 mars et le 3 mai 2023, ainsi que sur le déroulement de ces manifestations et rassemblements.",scrutin public ordinaire,2023-05-10,RUANR5L16S2023IDS27039,rejeté
VTANR5L16V832,le sous-amendement n° 75 de M. Delaporte et les sous-amendements identiques suivants à l'amendement n° 66 (rect.) du Gouvernement et aux amendements identiques suivants à l'article premier de la proposition de loi créant une aide universelle d'urgence pour les victimes de violences conjugales et intrafamiliales (première lecture).,scrutin public ordinaire,2023-01-16,RUANR5L16S2023IDS26687,adopté
VTANR5L16V1054,l'amendement n° 3267 de M. Ruffin et les amendements identiques suivants après l'article 2 du projet de loi de financement rectificative de la sécurité sociale pour 2023 (première lecture).,scrutin public ordinaire,2023-02-17,RUANR5L16S2023IDS26803,rejeté
VTANR5L16V457,l'amendement n° 716 de M. Gaillard à l'article 27 et État B de la seconde partie du projet de loi de finances pour 2023 (première lecture) - Mission Outre-Mer.,scrutin public ordinaire,2022-10-28,RUANR5L16S2023IDS26422,adopté
VTANR5L16V1645,l'amendement n° 1174 de M. Larsonneur et les amendements identiques suivants à l'article 2 et rapport annexé du projet de loi relatif à la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,2023-05-25,RUANR5L16S2023IDS27075,adopté
VTANR5L16V274,l'amendement n° 3127 de la commission des finances et l'amendement identique suivant après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-13,RUANR5L16S2023IDS26392,adopté
VTANR5L16V1520,l'article 7 de la proposition de loi visant à renforcer la prévention et la lutte contre l'intensification et l'extension du risque incendie (première lecture).,scrutin public ordinaire,2023-05-15,RUANR5L16S2023IDS27058,adopté
VTANR5L16V696,le sous-amendement n° 3088 de Mme Mathilde Paris à l'amendement n° 2200 de M. Alfandari à l'article 3 (examen prioritaire) du projet de loi relatif à l'accélération de la production d'énergies renouvelables (première lecture).,scrutin public ordinaire,2022-12-08,RUANR5L16S2023IDS26604,rejeté
VTANR5L16V1769,l'amendement n° 1391 de Mme Pic après l'article 36 du projet de loi relatif à la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,2023-06-01,RUANR5L16S2023IDS27085,rejeté
VTANR5L16V601,l'amendement n° 768 de Mme Moutchou et l'amendement identique suivant à l'article 14 du projet de loi d'orientation et de programmation du ministère de l'intérieur (première lecture).,scrutin public ordinaire,2022-11-17,RUANR5L16S2023IDS26505,adopté
VTANR5L16V524,l'amendement n° 24 de Mme Louwagie et les amendements identiques suivants après l'article 2 du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-11-08,RUANR5L16S2023IDS26434,rejeté
VTANR5L16V803,l'amendement n° 2529 de Mme Trouvé à l'article 16 nonies du projet de loi relatif à l'accélération de la production d'énergies renouvelables (première lecture).,scrutin public ordinaire,2022-12-15,RUANR5L16S2023IDS26640,rejeté
VTANR5L16V1498,l'amendement n° 70 de Mme Parmentier après l'article unique de la proposition de loi visant à rendre obligatoire le pavoisement des drapeaux français et européen sur le fronton des mairies (première lecture).,scrutin public ordinaire,2023-05-10,RUANR5L16S2023IDS27040,rejeté
VTANR5L16V1057,l'amendement n° 3195 de Mme Manon Meunier et les amendements identiques suivants après l'article 2 du projet de loi de financement rectificative de la sécurité sociale pour 2023 (première lecture).,scrutin public ordinaire,2023-02-17,RUANR5L16S2023IDS26803,rejeté
VTANR5L16V825,l'amendement n° 26 de M. Bentz après l'article premier de la proposition de loi visant à favoriser et inciter les entreprises à augmenter les salaires nets de 10% (première lecture).,scrutin public ordinaire,2023-01-12,RUANR5L16S2023IDS26684,rejeté
VTANR5L16V1519,l'article 6 bis de la proposition de loi visant à renforcer la prévention et la lutte contre l'intensification et l'extension du risque incendie (première lecture).,scrutin public ordinaire,2023-05-15,RUANR5L16S2023IDS27058,adopté
VTANR5L16V1557,l'amendement n° 77 de M. Delautrette à l'article 16 de la proposition de loi visant à renforcer la prévention et la lutte contre l'intensification et l'extension du risque incendie (première lecture).,scrutin public ordinaire,2023-05-17,RUANR5L16S2023IDS27061,rejeté
