scrutin,Gauche démocrate et républicaine - NUPES,La France insoumise - Nouvelle Union Populaire écologique et sociale,Socialistes et apparentés (membre de l’intergroupe NUPES),Écologiste - NUPES,alignement
VTANR5L16V10,contre,abstention,contre,contre,False
VTANR5L16V1007,,contre,,abstention,False
VTANR5L16V1013,pour,abstention,pour,pour,False
VTANR5L16V1018,pour,pour,pour,abstention,False
VTANR5L16V1020,,abstention,,abstention,False
VTANR5L16V1021,,pour,pour,pour,False
VTANR5L16V107,,,,contre,False
VTANR5L16V109,abstention,abstention,pour,contre,False
VTANR5L16V1092,abstention,,,contre,False
VTANR5L16V1093,pour,pour,abstention,abstention,False
VTANR5L16V1094,pour,pour,abstention,pour,False
VTANR5L16V1098,contre,contre,abstention,abstention,False
VTANR5L16V110,pour,pour,pour,,False
VTANR5L16V1101,,contre,contre,contre,False
VTANR5L16V1103,,contre,contre,abstention,False
VTANR5L16V1113,,pour,pour,pour,False
VTANR5L16V1119,,pour,pour,pour,False
VTANR5L16V112,,pour,pour,abstention,False
VTANR5L16V1121,,,contre,,False
VTANR5L16V1122,,,contre,,False
VTANR5L16V1123,,,contre,contre,False
VTANR5L16V1125,,,contre,,False
VTANR5L16V1126,pour,abstention,pour,pour,False
VTANR5L16V1127,,abstention,pour,pour,False
VTANR5L16V1128,pour,contre,abstention,abstention,False
VTANR5L16V1129,,pour,pour,pour,False
VTANR5L16V113,,abstention,,abstention,False
VTANR5L16V1134,pour,pour,,pour,False
VTANR5L16V1135,,,,abstention,False
VTANR5L16V1137,,pour,pour,pour,False
VTANR5L16V1138,,,,contre,False
VTANR5L16V1139,,,,contre,False
VTANR5L16V1140,,pour,pour,pour,False
VTANR5L16V1143,,abstention,abstention,,False
VTANR5L16V1144,pour,pour,pour,,False
VTANR5L16V1154,,abstention,,,False
VTANR5L16V1155,,pour,pour,pour,False
VTANR5L16V1156,abstention,pour,pour,pour,False
VTANR5L16V1157,abstention,pour,pour,pour,False
VTANR5L16V1158,abstention,pour,pour,pour,False
VTANR5L16V1159,abstention,contre,contre,contre,False
VTANR5L16V1160,pour,contre,contre,contre,False
VTANR5L16V1162,abstention,contre,contre,contre,False
VTANR5L16V1163,contre,pour,pour,pour,False
VTANR5L16V1164,pour,contre,contre,contre,False
VTANR5L16V1165,pour,contre,contre,contre,False
VTANR5L16V1166,abstention,pour,pour,pour,False
VTANR5L16V1167,contre,pour,abstention,pour,False
VTANR5L16V1171,,abstention,contre,contre,False
VTANR5L16V1172,,abstention,contre,contre,False
VTANR5L16V1173,pour,abstention,contre,contre,False
VTANR5L16V1174,,abstention,,contre,False
VTANR5L16V1177,contre,pour,contre,pour,False
VTANR5L16V1178,,,contre,contre,False
VTANR5L16V1183,pour,contre,contre,contre,False
VTANR5L16V1184,abstention,contre,contre,contre,False
VTANR5L16V1185,abstention,abstention,contre,contre,False
VTANR5L16V1187,pour,abstention,pour,abstention,False
VTANR5L16V1188,,contre,contre,contre,False
VTANR5L16V1189,pour,,pour,contre,False
VTANR5L16V1190,pour,abstention,pour,contre,False
VTANR5L16V1191,abstention,pour,pour,pour,False
VTANR5L16V1193,pour,contre,contre,contre,False
VTANR5L16V1196,pour,contre,abstention,pour,False
VTANR5L16V1197,abstention,pour,pour,pour,False
VTANR5L16V1201,contre,pour,abstention,pour,False
VTANR5L16V1202,abstention,pour,pour,pour,False
VTANR5L16V1203,,contre,contre,contre,False
VTANR5L16V1204,contre,pour,pour,pour,False
VTANR5L16V1205,pour,contre,contre,contre,False
VTANR5L16V1206,contre,pour,pour,pour,False
VTANR5L16V1207,contre,pour,abstention,pour,False
VTANR5L16V1208,contre,pour,pour,pour,False
VTANR5L16V1209,pour,contre,abstention,contre,False
VTANR5L16V1210,pour,contre,abstention,contre,False
VTANR5L16V1211,contre,contre,abstention,contre,False
VTANR5L16V1213,abstention,pour,pour,pour,False
VTANR5L16V1216,abstention,pour,pour,pour,False
VTANR5L16V1217,abstention,contre,contre,contre,False
VTANR5L16V1218,contre,pour,pour,pour,False
VTANR5L16V1219,abstention,,abstention,contre,False
VTANR5L16V122,contre,contre,pour,abstention,False
VTANR5L16V1222,,pour,pour,pour,False
VTANR5L16V1225,pour,contre,abstention,abstention,False
VTANR5L16V1227,,pour,,pour,False
VTANR5L16V1229,pour,contre,abstention,contre,False
VTANR5L16V1230,pour,contre,contre,contre,False
VTANR5L16V1233,contre,abstention,contre,contre,False
VTANR5L16V1234,,pour,pour,contre,False
VTANR5L16V124,pour,pour,,pour,False
VTANR5L16V1241,,,pour,,False
VTANR5L16V1242,abstention,pour,contre,pour,False
VTANR5L16V1243,pour,contre,contre,contre,False
VTANR5L16V1244,pour,pour,abstention,pour,False
VTANR5L16V1245,contre,abstention,contre,contre,False
VTANR5L16V1246,contre,,contre,contre,False
VTANR5L16V1248,pour,pour,abstention,pour,False
VTANR5L16V1249,contre,,contre,contre,False
VTANR5L16V1250,contre,,pour,contre,False
VTANR5L16V1252,,pour,pour,pour,False
VTANR5L16V1253,pour,abstention,abstention,abstention,False
VTANR5L16V1254,pour,abstention,pour,pour,False
VTANR5L16V1255,pour,abstention,pour,pour,False
VTANR5L16V1256,pour,contre,pour,abstention,False
VTANR5L16V1257,pour,abstention,pour,abstention,False
VTANR5L16V1259,contre,pour,contre,pour,False
VTANR5L16V126,pour,pour,pour,abstention,False
VTANR5L16V1260,contre,,,contre,False
VTANR5L16V1261,contre,contre,,contre,False
VTANR5L16V1262,pour,contre,pour,abstention,False
VTANR5L16V1265,,contre,abstention,abstention,False
VTANR5L16V1266,pour,pour,,pour,False
VTANR5L16V1267,,,contre,,False
VTANR5L16V1268,,pour,pour,pour,False
VTANR5L16V1269,,,,contre,False
VTANR5L16V1270,,,contre,contre,False
VTANR5L16V1271,,,contre,contre,False
VTANR5L16V1272,contre,,,contre,False
VTANR5L16V1273,contre,,,,False
VTANR5L16V1275,,contre,abstention,contre,False
VTANR5L16V1276,,contre,abstention,contre,False
VTANR5L16V1277,,contre,contre,contre,False
VTANR5L16V1278,,contre,contre,contre,False
VTANR5L16V1279,,,,contre,False
VTANR5L16V1280,,contre,pour,pour,False
VTANR5L16V1281,,pour,pour,pour,False
VTANR5L16V1282,pour,pour,contre,pour,False
VTANR5L16V1283,contre,contre,,contre,False
VTANR5L16V1284,contre,contre,,contre,False
VTANR5L16V1285,contre,contre,abstention,contre,False
VTANR5L16V1287,pour,abstention,pour,pour,False
VTANR5L16V1288,pour,contre,contre,contre,False
VTANR5L16V1289,pour,contre,abstention,contre,False
VTANR5L16V1290,pour,,,pour,False
VTANR5L16V1294,pour,contre,abstention,abstention,False
VTANR5L16V1295,,pour,pour,pour,False
VTANR5L16V1296,,pour,pour,pour,False
VTANR5L16V1297,,contre,abstention,contre,False
VTANR5L16V1298,pour,abstention,pour,abstention,False
VTANR5L16V13,contre,contre,abstention,contre,False
VTANR5L16V130,pour,abstention,pour,contre,False
VTANR5L16V1301,,,,contre,False
VTANR5L16V1304,,,abstention,abstention,False
VTANR5L16V1305,abstention,contre,abstention,contre,False
VTANR5L16V1306,contre,,pour,pour,False
VTANR5L16V1308,pour,abstention,pour,pour,False
VTANR5L16V1309,,pour,pour,pour,False
VTANR5L16V1310,,,,pour,False
VTANR5L16V1313,pour,abstention,pour,pour,False
VTANR5L16V1314,pour,abstention,pour,pour,False
VTANR5L16V1315,pour,abstention,pour,pour,False
VTANR5L16V1320,contre,contre,,contre,False
VTANR5L16V1329,contre,contre,,contre,False
VTANR5L16V1332,contre,abstention,abstention,abstention,False
VTANR5L16V1339,,pour,pour,contre,False
VTANR5L16V134,pour,pour,pour,abstention,False
VTANR5L16V1340,,pour,pour,pour,False
VTANR5L16V1341,pour,pour,pour,,False
VTANR5L16V1342,pour,pour,pour,,False
VTANR5L16V1346,abstention,pour,pour,pour,False
VTANR5L16V1347,pour,pour,pour,,False
VTANR5L16V1348,,pour,pour,,False
VTANR5L16V1349,,pour,pour,,False
VTANR5L16V135,pour,pour,pour,abstention,False
VTANR5L16V1350,,contre,contre,,False
VTANR5L16V1351,,pour,pour,,False
VTANR5L16V1352,,pour,pour,pour,False
VTANR5L16V1353,,pour,pour,pour,False
VTANR5L16V1354,,pour,pour,pour,False
VTANR5L16V1355,,abstention,pour,,False
VTANR5L16V1356,,pour,pour,pour,False
VTANR5L16V1357,,pour,pour,abstention,False
VTANR5L16V1358,,pour,contre,,False
VTANR5L16V1359,,contre,contre,,False
VTANR5L16V136,pour,pour,pour,abstention,False
VTANR5L16V1360,,pour,pour,,False
VTANR5L16V1364,contre,,contre,contre,False
VTANR5L16V1369,contre,,contre,contre,False
VTANR5L16V1371,contre,,contre,contre,False
VTANR5L16V1375,contre,,contre,contre,False
VTANR5L16V1392,contre,,,abstention,False
VTANR5L16V1395,abstention,pour,pour,pour,False
VTANR5L16V1397,,pour,pour,pour,False
VTANR5L16V1401,contre,pour,contre,contre,False
VTANR5L16V1403,,contre,contre,contre,False
VTANR5L16V1404,,pour,pour,pour,False
VTANR5L16V1405,,pour,pour,pour,False
VTANR5L16V1406,,pour,pour,pour,False
VTANR5L16V1407,,pour,pour,pour,False
