scrutin,Gauche démocrate et républicaine - NUPES,La France insoumise - Nouvelle Union Populaire écologique et sociale,Socialistes et apparentés (membre de l’intergroupe NUPES),Écologiste - NUPES,alignement
VTANR5L16V1,pour,pour,pour,pour,True
VTANR5L16V10,contre,abstention,contre,contre,False
VTANR5L16V100,pour,pour,pour,pour,True
VTANR5L16V1000,pour,pour,pour,pour,True
VTANR5L16V1001,pour,pour,pour,pour,True
VTANR5L16V1002,pour,pour,pour,pour,True
VTANR5L16V1003,pour,pour,pour,pour,True
VTANR5L16V1004,pour,pour,pour,pour,True
VTANR5L16V1005,pour,pour,pour,pour,True
VTANR5L16V1006,pour,pour,pour,pour,True
VTANR5L16V1007,,contre,,abstention,False
VTANR5L16V1008,pour,pour,pour,pour,True
VTANR5L16V1009,pour,pour,pour,pour,True
VTANR5L16V101,contre,contre,contre,contre,True
VTANR5L16V1010,pour,pour,pour,pour,True
VTANR5L16V1011,pour,pour,pour,pour,True
VTANR5L16V1012,pour,pour,pour,pour,True
VTANR5L16V1013,pour,abstention,pour,pour,False
VTANR5L16V1014,pour,pour,pour,pour,True
VTANR5L16V1015,pour,pour,pour,pour,True
VTANR5L16V1016,pour,pour,pour,pour,True
VTANR5L16V1017,pour,pour,pour,pour,True
VTANR5L16V1018,pour,pour,pour,abstention,False
VTANR5L16V1019,pour,pour,pour,pour,True
VTANR5L16V102,pour,pour,pour,pour,True
VTANR5L16V1020,,abstention,,abstention,False
VTANR5L16V1021,,pour,pour,pour,False
VTANR5L16V1022,pour,pour,pour,pour,True
VTANR5L16V1023,pour,pour,pour,pour,True
VTANR5L16V1024,pour,pour,pour,pour,True
VTANR5L16V1025,pour,pour,pour,pour,True
VTANR5L16V1026,pour,pour,pour,pour,True
VTANR5L16V1027,pour,pour,pour,pour,True
VTANR5L16V1028,pour,pour,pour,pour,True
VTANR5L16V1029,pour,pour,pour,pour,True
VTANR5L16V103,pour,pour,pour,pour,True
VTANR5L16V1030,pour,pour,pour,pour,True
VTANR5L16V1031,pour,pour,pour,pour,True
VTANR5L16V1032,pour,pour,pour,pour,True
VTANR5L16V1033,pour,pour,pour,pour,True
VTANR5L16V1034,pour,pour,pour,pour,True
VTANR5L16V1035,pour,pour,pour,pour,True
VTANR5L16V1036,pour,pour,pour,pour,True
VTANR5L16V1037,pour,pour,pour,pour,True
VTANR5L16V1038,pour,pour,pour,pour,True
VTANR5L16V1039,pour,pour,pour,pour,True
VTANR5L16V104,pour,pour,pour,pour,True
VTANR5L16V1040,pour,pour,pour,pour,True
VTANR5L16V1041,pour,pour,pour,pour,True
VTANR5L16V1042,pour,pour,pour,pour,True
VTANR5L16V1043,pour,pour,pour,pour,True
VTANR5L16V1044,pour,pour,pour,pour,True
VTANR5L16V1045,pour,pour,pour,pour,True
VTANR5L16V1046,pour,pour,pour,pour,True
VTANR5L16V1047,pour,pour,pour,pour,True
VTANR5L16V1048,pour,pour,pour,pour,True
VTANR5L16V1049,pour,pour,pour,pour,True
VTANR5L16V105,pour,pour,pour,pour,True
VTANR5L16V1050,pour,pour,pour,pour,True
VTANR5L16V1051,pour,pour,pour,pour,True
VTANR5L16V1052,pour,pour,pour,pour,True
VTANR5L16V1053,pour,pour,pour,pour,True
VTANR5L16V1054,pour,pour,pour,pour,True
VTANR5L16V1055,pour,pour,pour,pour,True
VTANR5L16V1056,pour,pour,pour,pour,True
VTANR5L16V1057,pour,pour,pour,pour,True
VTANR5L16V1058,pour,pour,pour,pour,True
VTANR5L16V1059,pour,pour,pour,pour,True
VTANR5L16V106,pour,pour,pour,pour,True
VTANR5L16V1060,pour,pour,pour,pour,True
VTANR5L16V1061,pour,pour,pour,pour,True
VTANR5L16V1062,pour,pour,pour,pour,True
VTANR5L16V1063,pour,pour,pour,pour,True
VTANR5L16V1064,pour,pour,pour,pour,True
VTANR5L16V1065,pour,pour,pour,pour,True
VTANR5L16V1066,pour,pour,pour,pour,True
VTANR5L16V1067,pour,pour,pour,pour,True
VTANR5L16V1068,pour,pour,pour,pour,True
VTANR5L16V1069,pour,pour,pour,pour,True
VTANR5L16V107,,,,contre,False
