acteurRef,axe 1,axe 2,organe,nom,prenom,civ,libelleAbrev,couleurAssociee
PA1008,-15.869776792262725,-7.599801575631015,PO800496,David,Alain,M.,SOC,#DF84B5
PA1206,-7.774611259456329,1.4307324979420737,PO793087,Dupont-Aignan,Nicolas,M.,NI,#8D949A
PA1327,3.5661174349601628,3.323868612557277,PO800508,Forissier,Nicolas,M.,LR,#4565AD
PA1567,-14.682842498144701,-7.775235932640666,PO800496,Guedj,Jérôme,M.,SOC,#DF84B5
PA1592,-0.3063329019759582,0.6024913354716102,PO793087,Habib,David,M.,NI,#8D949A
PA1630,0.3218035912134634,1.9105437055138845,PO800508,Herbillon,Michel,M.,LR,#4565AD
PA1874,-3.05595512270729,4.302305107794052,PO800508,Le Fur,Marc,M.,LR,#4565AD
PA2449,16.514833973016138,-0.4543313765435631,PO800538,Pont,Jean-Pierre,M.,RE,#61468F
PA266788,-3.3821890690887266,-0.8301134560147246,PO800532,Morel-À-L'Huissier,Pierre,M.,LIOT,#F8D434
PA266793,0.76342443607173,5.9007518127765275,PO800508,Bony,Jean-Yves,M.,LR,#4565AD
PA266797,2.825068149524448,5.510236059704699,PO800508,Gosselin,Philippe,M.,LR,#4565AD
PA266808,-1.8440004670219639,1.9845767389910005,PO800508,Rolland,Vincent,M.,LR,#4565AD
PA267042,3.3268507728316887,1.6462720204385428,PO800514,Favennec-Bécot,Yannick,M.,HOR,#32B3CA
PA267306,-10.821685417879307,-4.067053977159248,PO800502,Chassaigne,André,M.,GDR-NUPES,#991414
PA267318,3.857918658542889,0.8580431222334433,PO800538,Grelier,Jean-Carles,M.,RE,#61468F
PA267324,0.8759026393074396,3.0313663759249074,PO800508,Gaultier,Jean-Jacques,M.,LR,#4565AD
PA267336,23.689018642779477,-2.5003265109319517,PO800538,Giraud,Joël,M.,RE,#61468F
PA267429,2.466957145805203,5.321529093634404,PO800508,Cinieri,Dino,M.,LR,#4565AD
PA267766,-2.8579597850191196,-0.48855476990358654,PO800532,Bricout,Guy,M.,LIOT,#F8D434
PA267780,-3.3148825778840285,-1.3680451235961006,PO800514,Firmin Le Bodo,Agnès,Mme,HOR,#32B3CA
