acteurRef,divergence_groupe,scrutin,loyaute
PA721024,0,711,0.0
PA588884,0,235,0.0
PA794886,0,493,0.0
PA606639,0,178,0.0
PA795950,0,802,0.0
PA609590,0,162,0.0
PA721880,0,463,0.0
PA721908,0,1,0.0
PA721158,0,472,0.0
PA643184,0,584,0.0
PA796026,0,582,0.0
PA721960,0,366,0.0
PA720892,0,499,0.0
PA720846,0,508,0.0
PA796062,0,411,0.0
PA719186,0,585,0.0
PA795516,0,742,0.0
PA720354,0,368,0.0
PA720066,0,618,0.0
PA795318,0,388,0.0
PA267318,0,222,0.0
PA267306,0,189,0.0
PA722382,0,362,0.0
PA722358,0,232,0.0
PA794786,1,895,0.0011173184357541898
PA795920,1,797,0.0012547051442910915
PA794486,1,707,0.0014144271570014145
PA793528,1,638,0.001567398119122257
PA793110,1,623,0.0016051364365971107
PA795596,1,617,0.0016207455429497568
PA796018,1,601,0.0016638935108153079
PA794402,1,588,0.0017006802721088435
PA793444,1,576,0.001736111111111111
PA720446,1,573,0.0017452006980802793
PA794478,1,561,0.0017825311942959
PA793330,1,543,0.001841620626151013
PA795844,1,543,0.001841620626151013
PA794278,1,536,0.0018656716417910447
PA793872,1,536,0.0018656716417910447
PA794938,1,521,0.0019193857965451055
PA720430,1,519,0.0019267822736030828
PA794686,1,517,0.0019342359767891683
PA794838,1,498,0.002008032128514056
PA794846,1,488,0.0020491803278688526
PA791824,1,483,0.002070393374741201
PA794166,1,475,0.002105263157894737
PA794906,1,452,0.0022123893805309734
PA793616,2,902,0.0022172949002217295
PA720190,1,446,0.002242152466367713
PA793262,1,445,0.0022471910112359553
PA793278,1,440,0.0022727272727272726
PA795422,1,440,0.0022727272727272726
PA793736,1,430,0.002325581395348837
PA796132,1,425,0.002352941176470588
PA719032,2,810,0.0024691358024691358
PA795438,1,401,0.0024937655860349127
PA717379,3,1184,0.002533783783783784
PA677483,1,393,0.002544529262086514
PA720822,1,392,0.002551020408163265
PA793744,2,783,0.002554278416347382
PA794314,2,781,0.002560819462227913
PA795746,2,762,0.0026246719160104987
PA720054,1,378,0.0026455026455026454
PA719388,2,736,0.002717391304347826
PA718910,1,358,0.002793296089385475
PA794974,2,713,0.002805049088359046
PA720468,1,354,0.002824858757062147
PA795482,2,707,0.002828854314002829
