uid,objet,type,date,seance,sort,identiques,amendement,sous_amendement,cr,url_scrutin,url_seance
VTANR5L16V3051,l'amendement n° 2 de Mme Hamelet à l'article unique de la proposition de résolution européenne relative aux suites de la conférence sur l’avenir de l’Europe.,scrutin public ordinaire,2023-11-29,RUANR5L16S2024IDS27862,rejeté,False,True,False,CRSANR5L16S2024O1N067,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/3051,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N067
VTANR5L16V3187,"l'amendement n° 20 de Mme Le Pen à l'article premier de la proposition de loi constitutionnelle relative à la souveraineté de la France, à la nationalité, à l’immigration et à l’asile (première lecture).",scrutin public ordinaire,2023-12-07,RUANR5L16S2024IDS27904,rejeté,False,True,False,CRSANR5L16S2024O1N079,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/3187,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N079
VTANR5L16V1235,l'amendement n° 513 de M. Jean-Philippe Tanguy après l'article 13 du projet de loi relatif à l’accélération des procédures liées à la construction de nouvelles installations nucléaires à proximité de sites nucléaires existants et au fonctionnement des installations existantes (première lecture).,scrutin public ordinaire,2023-03-16,RUANR5L16S2023IDS26894,rejeté,False,True,False,CRSANR5L16S2023O1N181,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/1235,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N181
VTANR5L16V704,l'amendement n° 554 de Mme Mathilde Paris à l'article 3 (examen prioritaire) du projet de loi relatif à l'accélération de la production d'énergies renouvelables (première lecture).,scrutin public ordinaire,2022-12-08,RUANR5L16S2023IDS26604,rejeté,False,True,False,CRSANR5L16S2023O1N090,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/704,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N090
VTANR5L16V319,l'amendement n° 3248 de Mme Parmentier après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-14,RUANR5L16S2023IDS26397,rejeté,False,True,False,CRSANR5L16S2023O1N021,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/319,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N021
VTANR5L16V3242,l'amendement n° 278 de Mme Engrand à l'article 9 ter du projet de loi relatif à l'accélération et à la simplification de la rénovation de l'habitat dégradé et des grandes opérations d'aménagement (première lecture).,scrutin public ordinaire,2024-01-23,RUANR5L16S2024IDS28009,rejeté,False,True,False,CRSANR5L16S2024O1N101,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/3242,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N101
VTANR5L16V694,l'amendement n° 2189 de M. de Fournas à l'article 3 (examen prioritaire) du projet de loi relatif à l'accélération de la production d'énergies renouvelables (première lecture).,scrutin public ordinaire,2022-12-07,RUANR5L16S2023IDS26602,rejeté,False,True,False,CRSANR5L16S2023O1N088,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/694,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N088
VTANR5L16V2206,l'amendement n° 1067 de M. Guitton à l'article 14 du projet de loi d'orientation et de programmation du ministère de la justice 2023-2027 (première lecture).,scrutin public ordinaire,2023-07-10,RUANR5L16S2023IDS27446,rejeté,False,True,False,CRSANR5L16S2023E1N010,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/2206,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023E1N010
VTANR5L16V1877,l’amendement n° 111 de Mme Mathilde Paris à l’article premier de la proposition de loi relative aux services express régionaux métropolitains (première lecture).,scrutin public ordinaire,2023-06-16,RUANR5L16S2023IDS27398,rejeté,False,True,False,CRSANR5L16S2023O1N275,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/1877,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N275
VTANR5L16V2247,l'amendement n° 14 de M. Gillet à l'article premier et rapport annexé du projet de loi d'orientation et de programmation du ministère de la justice 2023-2027 (première lecture).,scrutin public ordinaire,2023-07-11,RUANR5L16S2023IDS27449,rejeté,False,True,False,CRSANR5L16S2023E1N013,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/2247,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023E1N013
