numero,texte,signataire,organe,dispositif,seance,sort,discussion_commune,discussion_identique,libelleAbrev,cr,url_seance,dispositif_plaintext,scrutin_pred
22,PIONANR5L16BTC2111,PA793246,PO800520,"<p style=""text-align: justify;"">Compl&#x00E9;ter cet article par l&#x2019;alin&#x00E9;a suivant&nbsp;:</p><p style=""text-align: justify;"">&#x00AB;&nbsp;Lorsque le bien se situe dans un p&#x00E9;rim&#x00E8;tre d&#x00E9;limit&#x00E9; des abords, apr&#x00E8;s l&#x2019;avis favorable des autorit&#x00E9;s&nbsp;mentionn&#x00E9;es au pr&#x00E9;sent article, les architectes des B&#x00E2;timents de France ont un d&#x00E9;lai de trois mois pour rendre un avis avec effet contraignant. Leur avis est r&#x00E9;put&#x00E9; favorable pass&#x00E9; ce d&#x00E9;lai.&nbsp;&#x00BB;</p>",RUANR5L16S2024IDS28122,Rejeté,,,RN,CRSANR5L16S2024O1N139,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N139,"Compléter cet article par l’alinéa suivant :« Lorsque le bien se situe dans un périmètre délimité des abords, après l’avis favorable des autorités mentionnées au présent article, les architectes des Bâtiments de France ont un délai de trois mois pour rendre un avis avec effet contraignant. Leur avis est réputé favorable passé ce délai. »",
7,PIONANR5L16BTC2111,PA794770,PO800520,"<p style=""text-align: justify;"">Lorsque des bureaux situ&#x00E9;s dans un p&#x00E9;rim&#x00E8;tre de vingt kilom&#x00E8;tres autour d&#x2019;une universit&#x00E9; ou tout autre &#x00E9;tablissement d&#x2019;&#x00E9;tudes sup&#x00E9;rieures changent de destination afin de devenir des habitations, 50&nbsp;% des logements cr&#x00E9;&#x00E9;s sont destin&#x00E9;s au logement &#x00E9;tudiant.</p>",RUANR5L16S2024IDS28122,Rejeté,,,RN,CRSANR5L16S2024O1N139,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N139,"Lorsque des bureaux situés dans un périmètre de vingt kilomètres autour d’une université ou tout autre établissement d’études supérieures changent de destination afin de devenir des habitations, 50 % des logements créés sont destinés au logement étudiant.",
4,PIONANR5L16BTC2111,PA793298,PO800520,"<p style=""text-align: justify;"">Dans les agglom&#x00E9;rations regroupant des p&#x00F4;les universitaires, un quota de 10 % des bureaux-logements est r&#x00E9;serv&#x00E9; aux centres r&#x00E9;gionaux des &#x0153;uvres universitaires et scolaires.</p>",RUANR5L16S2024IDS28122,Rejeté,,,RN,CRSANR5L16S2024O1N139,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N139,"Dans les agglomérations regroupant des pôles universitaires, un quota de 10 % des bureaux-logements est réservé aux centres régionaux des œuvres universitaires et scolaires.",VTANR5L16V3443
5,PIONANR5L16BTC2111,PA793298,PO800520,"<p style=""text-align: justify;"">Dans les agglom&#x00E9;rations regroupant des p&#x00F4;les universitaires, un quota de 5&nbsp;% des bureaux-logements est r&#x00E9;serv&#x00E9; aux centres r&#x00E9;gionaux des &#x0153;uvres universitaires et scolaires.</p><p style=""text-align: justify;"">&nbsp;</p>",RUANR5L16S2024IDS28122,Rejeté,,,RN,CRSANR5L16S2024O1N139,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N139,"Dans les agglomérations regroupant des pôles universitaires, un quota de 5 % des bureaux-logements est réservé aux centres régionaux des œuvres universitaires et scolaires. ",VTANR5L16V3444
19,PIONANR5L16BTC2111,PA793246,PO800520,"<p style=""text-align: justify;"">Compl&#x00E9;ter cet article&nbsp;par l&#x2019;alin&#x00E9;a suivant&nbsp;:</p><p style=""text-align: justify;"">&#x00AB;&nbsp;Apr&#x00E8;s l&#x2019;avis favorable de l&#x2019;autorit&#x00E9; comp&#x00E9;tente, le pr&#x00E9;fet doit donner son accord ou signifier son opposition &#x00E0; cette d&#x00E9;cision de mani&#x00E8;re expresse dans un d&#x00E9;lai d&#x2019;un mois.&nbsp;&#x00BB;</p>",RUANR5L16S2024IDS28122,Rejeté,,,RN,CRSANR5L16S2024O1N139,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N139,"Compléter cet article par l’alinéa suivant :« Après l’avis favorable de l’autorité compétente, le préfet doit donner son accord ou signifier son opposition à cette décision de manière expresse dans un délai d’un mois. »",
20,PIONANR5L16BTC2111,PA793246,PO800520,"<p style=""text-align: justify;"">&#x00C0; la fin de la deuxi&#x00E8;me phrase de l&#x2019;alin&#x00E9;a&nbsp;3, substituer au mot&nbsp;:</p><p style=""text-align: justify;"">&#x00AB;&nbsp;accord&#x00E9;e&nbsp;&#x00BB;,</p><p style=""text-align: justify;"">les mots&nbsp;:&nbsp;</p><p style=""text-align: justify;"">&#x00AB;&nbsp;r&#x00E9;put&#x00E9;e refus&#x00E9;e&nbsp;&#x00BB;.</p>",RUANR5L16S2024IDS28122,Rejeté,,,RN,CRSANR5L16S2024O1N139,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N139,"À la fin de la deuxième phrase de l’alinéa 3, substituer au mot :« accordée »,les mots : « réputée refusée ».",VTANR5L16V3437
21,PIONANR5L16BTC2111,PA793246,PO800520,"<p style=""text-align: justify;"">Apr&#x00E8;s l&#x2019;alin&#x00E9;a&nbsp;2, ins&#x00E9;rer l&#x2019;alin&#x00E9;a suivant&nbsp;:</p><p style=""text-align: justify;"">&#x00AB;&nbsp;Pour les communes de Paris, Lyon et Marseille, cette autorisation est d&#x00E9;livr&#x00E9;e par le conseil municipal d&#x2019;arrondissement avec un avis conforme et expr&#x00E8;s, rendu dans un d&#x00E9;lai de trois mois.&nbsp;&#x00BB;</p>",RUANR5L16S2024IDS28122,Rejeté,,,RN,CRSANR5L16S2024O1N139,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N139,"Après l’alinéa 2, insérer l’alinéa suivant :« Pour les communes de Paris, Lyon et Marseille, cette autorisation est délivrée par le conseil municipal d’arrondissement avec un avis conforme et exprès, rendu dans un délai de trois mois. »",
24,PIONANR5L16BTC2111,PA793246,PO800520,"<p style=""text-align: justify;"">Apr&#x00E8;s l&#x2019;alin&#x00E9;a&nbsp;2, ins&#x00E9;rer l&#x2019;alin&#x00E9;a suivant&nbsp;:</p><p style=""text-align: justify;"">&#x00AB;&nbsp;Ce permis de construire &#x00E0; destinations successives, du fait de son caract&#x00E8;re sp&#x00E9;cifique, doit &#x00EA;tre valid&#x00E9; par le pr&#x00E9;fet comp&#x00E9;tent, dans un d&#x00E9;lai d&#x2019;un mois, apr&#x00E8;s validation par l&#x2019;organe local <i>ad hoc</i>.&nbsp;&#x00BB;</p>",RUANR5L16S2024IDS28122,Rejeté,,,RN,CRSANR5L16S2024O1N139,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N139,"Après l’alinéa 2, insérer l’alinéa suivant :« Ce permis de construire à destinations successives, du fait de son caractère spécifique, doit être validé par le préfet compétent, dans un délai d’un mois, après validation par l’organe local ad hoc. »",
25,PIONANR5L16BTC2111,PA793246,PO800520,"<p style=""text-align: justify;"">Au plus tard dix-huit mois &#x00E0; compter de la promulgation de la pr&#x00E9;sente loi, le Gouvernement remet au Parlement un rapport &#x00E9;valuant l&#x2019;impact de la pr&#x00E9;sente loi sur l&#x2019;offre locative destin&#x00E9;e aux personnes ayant le statut d&#x2019;&#x00E9;tudiant.</p>",RUANR5L16S2024IDS28122,Rejeté,,,RN,CRSANR5L16S2024O1N139,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N139,"Au plus tard dix-huit mois à compter de la promulgation de la présente loi, le Gouvernement remet au Parlement un rapport évaluant l’impact de la présente loi sur l’offre locative destinée aux personnes ayant le statut d’étudiant.",
3,PIONANR5L16BTC2111,PA793298,PO800520,"<p style=""text-align: justify;"">Dans les agglom&#x00E9;rations regroupant des p&#x00F4;les universitaires, un quota de 15&nbsp;% des bureaux-logements&nbsp;est r&#x00E9;serv&#x00E9; aux centres r&#x00E9;gionaux des &#x0153;uvres universitaires et scolaires.</p>",RUANR5L16S2024IDS28122,Rejeté,,,RN,CRSANR5L16S2024O1N139,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N139,"Dans les agglomérations regroupant des pôles universitaires, un quota de 15 % des bureaux-logements est réservé aux centres régionaux des œuvres universitaires et scolaires.",VTANR5L16V3442
