acteurRef,mandatRef,parDelegation,position,organe,date,scrutin,groupe_majorite,nom,prenom,civ,libelleAbrev
PA793508,PM796371,False,pour,PO800508,2023-11-29,VTANR5L16V3051,abstention,Brigand,Hubert,M.,LR
PA1206,PM797637,False,pour,PO793087,2023-11-29,VTANR5L16V3051,pour,Dupont-Aignan,Nicolas,M.,NI
PA642847,PM796872,False,pour,PO800508,2023-12-07,VTANR5L16V3187,contre,Bazin,Thibault,M.,LR
PA720630,PM797094,False,pour,PO800508,2023-12-07,VTANR5L16V3187,contre,Minot,Maxime,M.,LR
PA719608,PM796593,False,pour,PO793087,2023-12-07,VTANR5L16V3187,pour,Ménard,Emmanuelle,Mme,NI
PA718850,PM796203,False,pour,PO800508,2023-03-16,VTANR5L16V1235,pour,Cordier,Pierre,M.,LR
PA719318,PM796470,False,pour,PO800508,2023-03-16,VTANR5L16V1235,pour,Anthoine,Emmanuelle,Mme,LR
PA720630,PM797094,False,pour,PO800508,2023-03-16,VTANR5L16V1235,pour,Minot,Maxime,M.,LR
PA721816,PM797571,False,pour,PO800508,2022-12-08,VTANR5L16V704,pour,Boucard,Ian,M.,LR
PA330909,PM796314,False,pour,PO800508,2022-12-08,VTANR5L16V704,pour,Descoeur,Vincent,M.,LR
PA266793,PM796317,False,pour,PO800508,2022-12-08,VTANR5L16V704,pour,Bony,Jean-Yves,M.,LR
PA340343,PM796275,False,pour,PO800496,2022-12-08,VTANR5L16V704,pour,Saulignac,Hervé,M.,SOC
PA342415,PM796659,False,pour,PO800496,2022-12-08,VTANR5L16V704,pour,Battistel,Marie-Noëlle,Mme,SOC
PA342196,PM796695,False,pour,PO800496,2022-12-08,VTANR5L16V704,pour,Rouaux,Claudia,Mme,SOC
PA643192,PM797097,False,pour,PO800496,2022-12-08,VTANR5L16V704,pour,Jourdan,Chantal,Mme,SOC
PA719608,PM796593,False,pour,PO793087,2022-12-08,VTANR5L16V704,pour,Ménard,Emmanuelle,Mme,NI
PA346782,PM797691,False,pour,PO800508,2022-10-14,VTANR5L16V319,pour,Juvin,Philippe,M.,LR
PA719608,PM796593,False,pour,PO793087,2022-10-14,VTANR5L16V319,pour,Ménard,Emmanuelle,Mme,NI
PA719512,PM796509,False,pour,PO800538,2024-01-23,VTANR5L16V3242,contre,Vignon,Corinne,Mme,RE
PA1327,PM796632,False,pour,PO800508,2022-12-07,VTANR5L16V694,pour,Forissier,Nicolas,M.,LR
PA346054,PM797679,False,pour,PO800508,2022-12-07,VTANR5L16V694,pour,Maquet,Emmanuel,M.,LR
PA793476,PM796344,False,pour,PO800508,2022-12-07,VTANR5L16V694,pour,Dubois,Francis,M.,LR
PA330909,PM796314,False,pour,PO800508,2022-12-07,VTANR5L16V694,pour,Descoeur,Vincent,M.,LR
PA266793,PM796317,False,pour,PO800508,2022-12-07,VTANR5L16V694,pour,Bony,Jean-Yves,M.,LR
PA794114,PM796719,False,pour,PO800484,2022-12-07,VTANR5L16V694,contre,Mandon,Emmanuel,M.,DEM
PA719608,PM796593,False,pour,PO793087,2022-12-07,VTANR5L16V694,pour,Ménard,Emmanuelle,Mme,NI
PA267429,PM796722,False,pour,PO800508,2023-07-10,VTANR5L16V2206,pour,Cinieri,Dino,M.,LR
PA721816,PM797571,False,pour,PO800508,2023-07-10,VTANR5L16V2206,pour,Boucard,Ian,M.,LR
PA721474,PM797511,False,pour,PO800508,2023-07-11,VTANR5L16V2247,abstention,Viry,Stéphane,M.,LR
PA607619,PM796890,False,pour,PO800532,2023-07-11,VTANR5L16V2247,pour,Molac,Paul,M.,LIOT
PA719608,PM796593,False,pour,PO793087,2023-07-11,VTANR5L16V2247,pour,Ménard,Emmanuelle,Mme,NI
PA721118,PM797376,False,pour,PO800502,2023-03-14,VTANR5L16V1183,pour,Brotherson,Moetai,M.,GDR-NUPES
PA720092,PM796857,False,pour,PO800484,2023-01-18,VTANR5L16V845,contre,Ramos,Richard,M.,DEM
PA309643,PM797403,False,pour,PO793087,2023-01-18,VTANR5L16V845,pour,Besse,Véronique,Mme,NI
PA720354,PM796896,False,pour,PO800538,2024-05-02,VTANR5L16V3711,pour,Jacques,Jean-Michel,M.,RE
PA720362,PM796899,False,pour,PO800538,2024-05-02,VTANR5L16V3711,pour,Belhaddad,Belkhir,M.,RE
PA720480,PM796944,False,pour,PO800538,2024-05-02,VTANR5L16V3711,pour,Parmentier-Lecocq,Charlotte,Mme,RE
PA721710,PM797505,False,pour,PO800538,2024-05-02,VTANR5L16V3711,pour,Peyron,Michèle,Mme,RE
PA722054,PM797598,False,pour,PO800538,2024-05-02,VTANR5L16V3711,pour,Hai,Nadia,Mme,RE
PA722102,PM797850,False,pour,PO800538,2024-05-02,VTANR5L16V3711,pour,Vidal,Annie,Mme,RE
PA793500,PM796365,False,pour,PO800538,2024-05-02,VTANR5L16V3711,pour,Bordat,Benoît,M.,RE
PA794206,PM796779,False,pour,PO800538,2024-05-02,VTANR5L16V3711,pour,Marion,Christophe,M.,RE
PA794330,PM796854,False,pour,PO800538,2024-05-02,VTANR5L16V3711,pour,Brosse,Anthony,M.,RE
PA794510,PM796965,False,pour,PO800538,2024-05-02,VTANR5L16V3711,pour,Decodts,Christine,Mme,RE
PA795528,PM797535,False,pour,PO800538,2024-05-02,VTANR5L16V3711,pour,Rodwell,Charles,M.,RE
PA795926,PM797757,False,pour,PO800538,2024-05-02,VTANR5L16V3711,pour,Pellerin,Emmanuel,M.,RE
PA721828,PM802651,True,pour,PO800538,2024-05-02,VTANR5L16V3711,pour,Berete,Fanta,Mme,RE
PA795774,PM827436,False,pour,PO800538,2024-05-02,VTANR5L16V3711,pour,Dordain,Ingrid,Mme,RE
PA605991,PM796428,False,pour,PO800508,2024-05-02,VTANR5L16V3711,pour,Genevard,Annie,Mme,LR
PA342240,PM796707,False,pour,PO800508,2024-05-02,VTANR5L16V3711,pour,Bourgeaux,Jean-Luc,M.,LR
PA774954,PM796797,False,pour,PO800508,2024-05-02,VTANR5L16V3711,pour,Blin,Anne-Laure,Mme,LR
PA719640,PM796575,False,pour,PO800484,2024-05-02,VTANR5L16V3711,pour,Mette,Sophie,Mme,DEM
PA721234,PM797451,False,pour,PO800484,2024-05-02,VTANR5L16V3711,pour,Petit,Maud,Mme,DEM
PA793716,PM796491,False,pour,PO800484,2024-05-02,VTANR5L16V3711,pour,Croizier,Laurent,M.,DEM
PA642868,PM796968,False,pour,PO800514,2024-05-02,VTANR5L16V3711,pour,Christophe,Paul,M.,HOR
PA267780,PM834858,False,pour,PO800514,2024-05-02,VTANR5L16V3711,pour,Firmin Le Bodo,Agnès,Mme,HOR
PA794234,PM796791,False,pour,PO800514,2024-05-02,VTANR5L16V3711,pour,Gernigon,François,M.,HOR
PA793174,PM796188,False,pour,PO800502,2024-05-02,VTANR5L16V3711,pour,Monnet,Yannick,M.,GDR-NUPES
PA720696,PM796989,False,pour,PO800532,2024-05-02,VTANR5L16V3711,pour,Descamps,Béatrice,Mme,LIOT
PA795244,PM797379,False,pour,PO800532,2024-05-02,VTANR5L16V3711,pour,Lenormand,Stéphane,M.,LIOT
PA720952,PM797619,False,pour,PO800526,2024-05-02,VTANR5L16V3711,pour,Taché,Aurélien,M.,ECOLO
PA793708,PM796488,False,pour,PO800526,2024-05-02,VTANR5L16V3711,pour,Peytavie,Sébastien,M.,ECOLO
PA794154,PM796743,False,pour,PO800526,2024-05-02,VTANR5L16V3711,pour,Raux,Jean-Claude,M.,ECOLO
PA794778,PM797115,False,pour,PO800526,2024-05-02,VTANR5L16V3711,pour,Regol,Sandra,Mme,ECOLO
PA791812,PM797280,False,pour,PO800490,2023-10-05,VTANR5L16V2660,pour,Chikirou,Sophia,Mme,LFI-NUPES
PA793444,PM796329,False,pour,PO800490,2023-10-05,VTANR5L16V2660,pour,Bompard,Manuel,M.,LFI-NUPES
PA793452,PM796332,False,pour,PO800490,2023-10-05,VTANR5L16V2660,pour,Davi,Hendrik,M.,LFI-NUPES
PA794130,PM796731,False,pour,PO800490,2023-10-05,VTANR5L16V2660,pour,Kerbrat,Andy,M.,LFI-NUPES
PA794138,PM796734,False,pour,PO800490,2023-10-05,VTANR5L16V2660,pour,Amiot,Ségolène,Mme,LFI-NUPES
PA794786,PM797118,False,pour,PO800490,2023-10-05,VTANR5L16V2660,pour,Fernandes,Emmanuel,M.,LFI-NUPES
